cellI,x,y,z,V,Ux,Uy,Uz
79,0.019875,0.000125,0.000125,1.5625e-11,89.79920687,0.07467193021,0
80,0.020125,0.000125,0.000125,1.5625e-11,89.71494471,0.07120443418,0
81,0.020375,0.000125,0.000125,1.5625e-11,89.63590102,0.06729021844,0
82,0.020625,0.000125,0.000125,1.5625e-11,89.56289199,0.06282298348,0
83,0.020875,0.000125,0.000125,1.5625e-11,89.49691861,0.05765358333,0
84,0.021125,0.000125,0.000125,1.5625e-11,89.43923908,0.05144481821,0
85,0.021375,0.000125,0.000125,1.5625e-11,89.39139243,0.04471179891,0
86,0.021625,0.000125,0.000125,1.5625e-11,89.35529232,0.03701591612,0
87,0.021875,0.000125,0.000125,1.5625e-11,89.33312658,0.02911147389,0
88,0.022125,0.000125,0.000125,1.5625e-11,89.32791465,0.0178752626,0
89,0.022375,0.000125,0.000125,1.5625e-11,89.34378932,0.004280673109,0
90,0.022625,0.000125,0.000125,1.5625e-11,89.38641694,-0.01594007341,0
91,0.022875,0.000125,0.000125,1.5625e-11,89.46293766,-0.03824079273,0
92,0.023125,0.000125,0.000125,1.5625e-11,89.5822249,-0.06620919052,0
93,0.023375,0.000125,0.000125,1.5625e-11,89.756973,-0.1035066273,0
94,0.023625,0.000125,0.000125,1.5625e-11,90.00632836,-0.1558747977,0
95,0.023875,0.000125,0.000125,1.5625e-11,90.3593993,-0.229306118,0
96,0.024125,0.000125,0.000125,1.5625e-11,90.86469467,-0.3429644895,0
97,0.024375,0.000125,0.000125,1.5625e-11,91.59862373,-0.4979788029,0
98,0.024625,0.000125,0.000125,1.5625e-11,92.72169045,-0.8849776638,0
99,0.024875,0.000125,0.000125,1.5625e-11,94.60768352,-1.055420198,0
100,0.000125,0.000375,0.000125,1.5625e-11,100.0063444,0.03194279849,0
101,0.000375,0.000375,0.000125,1.5625e-11,100.0272928,0.06645995967,0
102,0.000625,0.000375,0.000125,1.5625e-11,100.0468271,0.08338120213,0
103,0.000875,0.000375,0.000125,1.5625e-11,100.0553794,0.09478943958,0
104,0.001125,0.000375,0.000125,1.5625e-11,100.0612544,0.1041377704,0
105,0.001375,0.000375,0.000125,1.5625e-11,100.0660221,0.1117670738,0
106,0.001625,0.000375,0.000125,1.5625e-11,100.0694038,0.118054093,0
107,0.001875,0.000375,0.000125,1.5625e-11,100.0712748,0.1236060052,0
108,0.002125,0.000375,0.000125,1.5625e-11,100.0718605,0.1283948172,0
109,0.002375,0.000375,0.000125,1.5625e-11,100.0712899,0.1326366717,0
110,0.002625,0.000375,0.000125,1.5625e-11,100.069615,0.1363639058,0
111,0.002875,0.000375,0.000125,1.5625e-11,100.0668477,0.1398351068,0
112,0.003125,0.000375,0.000125,1.5625e-11,100.0630595,0.1429611978,0
113,0.003375,0.000375,0.000125,1.5625e-11,100.0583337,0.1456207708,0
114,0.003625,0.000375,0.000125,1.5625e-11,100.0527064,0.1480938519,0
115,0.003875,0.000375,0.000125,1.5625e-11,100.0461367,0.1502868426,0
116,0.004125,0.000375,0.000125,1.5625e-11,100.0385895,0.1521917406,0
117,0.004375,0.000375,0.000125,1.5625e-11,100.0300589,0.1538513375,0
118,0.004625,0.000375,0.000125,1.5625e-11,100.0205571,0.1552924067,0
119,0.004875,0.000375,0.000125,1.5625e-11,100.010092,0.156543276,0
120,0.005125,0.000375,0.000125,1.5625e-11,99.99864001,0.1575819694,0
121,0.005375,0.000375,0.000125,1.5625e-11,99.98618721,0.1584170431,0
122,0.005625,0.000375,0.000125,1.5625e-11,99.97274261,0.1591701928,0
123,0.005875,0.000375,0.000125,1.5625e-11,99.95831829,0.1598616876,0
124,0.006125,0.000375,0.000125,1.5625e-11,99.94292239,0.1604653732,0
125,0.006375,0.000375,0.000125,1.5625e-11,99.92656278,0.1609601786,0
126,0.006625,0.000375,0.000125,1.5625e-11,99.90924785,0.161354583,0
127,0.006875,0.000375,0.000125,1.5625e-11,99.89098608,0.1616584443,0
128,0.007125,0.000375,0.000125,1.5625e-11,99.87178633,0.1618754304,0
129,0.007375,0.000375,0.000125,1.5625e-11,99.85165886,0.161996981,0
130,0.007625,0.000375,0.000125,1.5625e-11,99.83062217,0.1620230867,0
131,0.007875,0.000375,0.000125,1.5625e-11,99.80870132,0.1619729741,0
132,0.008125,0.000375,0.000125,1.5625e-11,99.78591692,0.161865485,0
133,0.008375,0.000375,0.000125,1.5625e-11,99.76228795,0.1617084706,0
134,0.008625,0.000375,0.000125,1.5625e-11,99.73782747,0.161503367,0
135,0.008875,0.000375,0.000125,1.5625e-11,99.71254095,0.1612537503,0
136,0.009125,0.000375,0.000125,1.5625e-11,99.68644491,0.1609734254,0
137,0.009375,0.000375,0.000125,1.5625e-11,99.6595627,0.1606753457,0
138,0.009625,0.000375,0.000125,1.5625e-11,99.6319104,0.1603581046,0
139,0.009875,0.000375,0.000125,1.5625e-11,99.60350152,0.1600134335,0
140,0.010125,0.000375,0.000125,1.5625e-11,99.57435304,0.1596371458,0
141,0.010375,0.000375,0.000125,1.5625e-11,99.54448423,0.1592300934,0
142,0.010625,0.000375,0.000125,1.5625e-11,99.51391415,0.1587947323,0
143,0.010875,0.000375,0.000125,1.5625e-11,99.4826612,0.1583333297,0
144,0.011125,0.000375,0.000125,1.5625e-11,99.45074404,0.1578470897,0
145,0.011375,0.000375,0.000125,1.5625e-11,99.41818056,0.1573395854,0
146,0.011625,0.000375,0.000125,1.5625e-11,99.38499103,0.1568089554,0
147,0.011875,0.000375,0.000125,1.5625e-11,99.35119521,0.1562557821,0
148,0.012125,0.000375,0.000125,1.5625e-11,99.31681146,0.1556861285,0
149,0.012375,0.000375,0.000125,1.5625e-11,99.2818562,0.1550989297,0
150,0.012625,0.000375,0.000125,1.5625e-11,99.24634902,0.1544925781,0
151,0.012875,0.000375,0.000125,1.5625e-11,99.21031242,0.1538651653,0
152,0.013125,0.000375,0.000125,1.5625e-11,99.17377197,0.1532151261,0
153,0.013375,0.000375,0.000125,1.5625e-11,99.13675409,0.1525420594,0
154,0.013625,0.000375,0.000125,1.5625e-11,99.09928391,0.1518453147,0
155,0.013875,0.000375,0.000125,1.5625e-11,99.0613858,0.1511240063,0
156,0.014125,0.000375,0.000125,1.5625e-11,99.02308521,0.1503761894,0
157,0.014375,0.000375,0.000125,1.5625e-11,98.98440806,0.1496005717,0
158,0.014625,0.000375,0.000125,1.5625e-11,98.94537898,0.1487952583,0
159,0.014875,0.000375,0.000125,1.5625e-11,98.90602359,0.1479562739,0
160,0.015125,0.000375,0.000125,1.5625e-11,98.86637203,0.1470786269,0
161,0.015375,0.000375,0.000125,1.5625e-11,98.82645958,0.1461570021,0
162,0.015625,0.000375,0.000125,1.5625e-11,98.78632554,0.1451852229,0
163,0.015875,0.000375,0.000125,1.5625e-11,98.7460132,0.1441557234,0
164,0.016125,0.000375,0.000125,1.5625e-11,98.70557059,0.1430594336,0
165,0.016375,0.000375,0.000125,1.5625e-11,98.66505153,0.1418856521,0
166,0.016625,0.000375,0.000125,1.5625e-11,98.62451662,0.1406218377,0
167,0.016875,0.000375,0.000125,1.5625e-11,98.58403446,0.139252915,0
168,0.017125,0.000375,0.000125,1.5625e-11,98.54368289,0.137761648,0
169,0.017375,0.000375,0.000125,1.5625e-11,98.50355113,0.1361257172,0
170,0.017625,0.000375,0.000125,1.5625e-11,98.46374123,0.1343207493,0
171,0.017875,0.000375,0.000125,1.5625e-11,98.42436267,0.1323214461,0
172,0.018125,0.000375,0.000125,1.5625e-11,98.38553294,0.1300984499,0
173,0.018375,0.000375,0.000125,1.5625e-11,98.34741433,0.127613393,0
174,0.018625,0.000375,0.000125,1.5625e-11,98.31021229,0.1248177233,0
175,0.018875,0.000375,0.000125,1.5625e-11,98.27415112,0.1216514441,0
176,0.019125,0.000375,0.000125,1.5625e-11,98.23948272,0.1180440014,0
177,0.019375,0.000375,0.000125,1.5625e-11,98.20650362,0.1139122083,0
178,0.019625,0.000375,0.000125,1.5625e-11,98.17556729,0.1091561943,0
179,0.019875,0.000375,0.000125,1.5625e-11,98.14709483,0.1036560773,0
180,0.020125,0.000375,0.000125,1.5625e-11,98.1215896,0.09726615859,0
181,0.020375,0.000375,0.000125,1.5625e-11,98.09965526,0.08980696117,0
182,0.020625,0.000375,0.000125,1.5625e-11,98.08201026,0.08106066364,0
183,0.020875,0.000375,0.000125,1.5625e-11,98.06950317,0.07073922677,0
184,0.021125,0.000375,0.000125,1.5625e-11,98.06311893,0.05850062648,0
185,0.021375,0.000375,0.000125,1.5625e-11,98.06405248,0.04378128541,0
186,0.021625,0.000375,0.000125,1.5625e-11,98.07382146,0.02589676802,0
187,0.021875,0.000375,0.000125,1.5625e-11,98.09454259,0.003935529893,0
188,0.022125,0.000375,0.000125,1.5625e-11,98.12883192,-0.02304361227,0
189,0.022375,0.000375,0.000125,1.5625e-11,98.17956364,-0.05636638788,0
190,0.022625,0.000375,0.000125,1.5625e-11,98.2503981,-0.0976521167,0
191,0.022875,0.000375,0.000125,1.5625e-11,98.34597372,-0.1497574298,0
192,0.023125,0.000375,0.000125,1.5625e-11,98.47287766,-0.2167667911,0
193,0.023375,0.000375,0.000125,1.5625e-11,98.63979258,-0.305034383,0
194,0.023625,0.000375,0.000125,1.5625e-11,98.85777532,-0.4244390492,0
195,0.023875,0.000375,0.000125,1.5625e-11,99.14308997,-0.5924810328,0
