cellI,x,y,z,V,Ux,Uy,Uz
79,0.019875,0.000125,0.000125,1.5625e-11,89.78055286,0.07645041416,0
80,0.020125,0.000125,0.000125,1.5625e-11,89.6929938,0.07332025659,0
81,0.020375,0.000125,0.000125,1.5625e-11,89.61004281,0.06981495278,0
82,0.020625,0.000125,0.000125,1.5625e-11,89.53239794,0.0658483032,0
83,0.020875,0.000125,0.000125,1.5625e-11,89.4608996,0.06130787051,0
84,0.021125,0.000125,0.000125,1.5625e-11,89.39658627,0.05603644706,0
85,0.021375,0.000125,0.000125,1.5625e-11,89.34076192,0.04966570714,0
86,0.021625,0.000125,0.000125,1.5625e-11,89.29501222,0.04284320214,0
87,0.021875,0.000125,0.000125,1.5625e-11,89.26131955,0.0350329122,0
88,0.022125,0.000125,0.000125,1.5625e-11,89.24195365,0.02689628979,0
89,0.022375,0.000125,0.000125,1.5625e-11,89.24015832,0.01516711832,0
90,0.022625,0.000125,0.000125,1.5625e-11,89.26031011,0.0005803756313,0
91,0.022875,0.000125,0.000125,1.5625e-11,89.30854811,-0.02070782853,0
92,0.023125,0.000125,0.000125,1.5625e-11,89.392413,-0.04352164191,0
93,0.023375,0.000125,0.000125,1.5625e-11,89.52154576,-0.07331909933,0
94,0.023625,0.000125,0.000125,1.5625e-11,89.71034988,-0.1142004456,0
95,0.023875,0.000125,0.000125,1.5625e-11,89.98059774,-0.1714187946,0
96,0.024125,0.000125,0.000125,1.5625e-11,90.36754214,-0.2576877921,0
97,0.024375,0.000125,0.000125,1.5625e-11,90.92752905,-0.3762538463,0
98,0.024625,0.000125,0.000125,1.5625e-11,91.76502521,-0.6427685118,0
99,0.024875,0.000125,0.000125,1.5625e-11,93.19141272,-0.8084764962,0
100,0.000125,0.000375,0.000125,1.5625e-11,100.0063444,0.03194280207,0
101,0.000375,0.000375,0.000125,1.5625e-11,100.0272928,0.06645996982,0
102,0.000625,0.000375,0.000125,1.5625e-11,100.0468271,0.08338122307,0
103,0.000875,0.000375,0.000125,1.5625e-11,100.0553793,0.09478946538,0
104,0.001125,0.000375,0.000125,1.5625e-11,100.0612543,0.1041378057,0
105,0.001375,0.000375,0.000125,1.5625e-11,100.0660221,0.1117671158,0
106,0.001625,0.000375,0.000125,1.5625e-11,100.0694037,0.1180541471,0
107,0.001875,0.000375,0.000125,1.5625e-11,100.0712747,0.1236060688,0
108,0.002125,0.000375,0.000125,1.5625e-11,100.0718603,0.1283948967,0
109,0.002375,0.000375,0.000125,1.5625e-11,100.0712897,0.1326367591,0
110,0.002625,0.000375,0.000125,1.5625e-11,100.0696147,0.1363640135,0
111,0.002875,0.000375,0.000125,1.5625e-11,100.0668473,0.1398352346,0
112,0.003125,0.000375,0.000125,1.5625e-11,100.0630591,0.1429613416,0
113,0.003375,0.000375,0.000125,1.5625e-11,100.0583332,0.1456209309,0
114,0.003625,0.000375,0.000125,1.5625e-11,100.0527058,0.1480940457,0
115,0.003875,0.000375,0.000125,1.5625e-11,100.046136,0.150287065,0
116,0.004125,0.000375,0.000125,1.5625e-11,100.0385886,0.152191995,0
117,0.004375,0.000375,0.000125,1.5625e-11,100.0300578,0.1538516316,0
118,0.004625,0.000375,0.000125,1.5625e-11,100.0205558,0.1552927437,0
119,0.004875,0.000375,0.000125,1.5625e-11,100.0100904,0.1565436736,0
120,0.005125,0.000375,0.000125,1.5625e-11,99.9986382,0.157582411,0
121,0.005375,0.000375,0.000125,1.5625e-11,99.9861851,0.1584175607,0
122,0.005625,0.000375,0.000125,1.5625e-11,99.97274013,0.159170791,0
123,0.005875,0.000375,0.000125,1.5625e-11,99.95831538,0.159862396,0
124,0.006125,0.000375,0.000125,1.5625e-11,99.94291899,0.1604661992,0
125,0.006375,0.000375,0.000125,1.5625e-11,99.92655882,0.1609611402,0
126,0.006625,0.000375,0.000125,1.5625e-11,99.90924323,0.161355703,0
127,0.006875,0.000375,0.000125,1.5625e-11,99.89098068,0.1616597457,0
128,0.007125,0.000375,0.000125,1.5625e-11,99.87178004,0.1618769313,0
129,0.007375,0.000375,0.000125,1.5625e-11,99.85165152,0.1619987021,0
130,0.007625,0.000375,0.000125,1.5625e-11,99.83061364,0.1620250726,0
131,0.007875,0.000375,0.000125,1.5625e-11,99.80869141,0.1619752831,0
132,0.008125,0.000375,0.000125,1.5625e-11,99.78590541,0.1618681747,0
133,0.008375,0.000375,0.000125,1.5625e-11,99.76227458,0.161711601,0
134,0.008625,0.000375,0.000125,1.5625e-11,99.73781194,0.1615070055,0
135,0.008875,0.000375,0.000125,1.5625e-11,99.71252291,0.1612579868,0
136,0.009125,0.000375,0.000125,1.5625e-11,99.68642394,0.1609783957,0
137,0.009375,0.000375,0.000125,1.5625e-11,99.6595383,0.1606811947,0
138,0.009625,0.000375,0.000125,1.5625e-11,99.63188197,0.1603649526,0
139,0.009875,0.000375,0.000125,1.5625e-11,99.60346838,0.1600214133,0
140,0.010125,0.000375,0.000125,1.5625e-11,99.5743144,0.1596464342,0
141,0.010375,0.000375,0.000125,1.5625e-11,99.5444392,0.1592409169,0
142,0.010625,0.000375,0.000125,1.5625e-11,99.51386166,0.1588073643,0
143,0.010875,0.000375,0.000125,1.5625e-11,99.48259997,0.1583481287,0
144,0.011125,0.000375,0.000125,1.5625e-11,99.45067259,0.1578644069,0
145,0.011375,0.000375,0.000125,1.5625e-11,99.41809691,0.1573602117,0
146,0.011625,0.000375,0.000125,1.5625e-11,99.38489322,0.156832925,0
147,0.011875,0.000375,0.000125,1.5625e-11,99.3510812,0.1562830421,0
148,0.012125,0.000375,0.000125,1.5625e-11,99.3166788,0.1557179092,0
149,0.012375,0.000375,0.000125,1.5625e-11,99.28170137,0.1551363269,0
150,0.012625,0.000375,0.000125,1.5625e-11,99.2461681,0.1545363627,0
151,0.012875,0.000375,0.000125,1.5625e-11,99.21010126,0.1539162085,0
152,0.013125,0.000375,0.000125,1.5625e-11,99.17352583,0.1532746048,0
153,0.013375,0.000375,0.000125,1.5625e-11,99.13646731,0.1526114078,0
154,0.013625,0.000375,0.000125,1.5625e-11,99.09894977,0.1519261918,0
155,0.013875,0.000375,0.000125,1.5625e-11,99.06099647,0.151218444,0
156,0.014125,0.000375,0.000125,1.5625e-11,99.0226315,0.1504865379,0
157,0.014375,0.000375,0.000125,1.5625e-11,98.98387906,0.1497297141,0
158,0.014625,0.000375,0.000125,1.5625e-11,98.94476156,0.1489465169,0
159,0.014875,0.000375,0.000125,1.5625e-11,98.90530234,0.1481333897,0
160,0.015125,0.000375,0.000125,1.5625e-11,98.86552923,0.1472860203,0
161,0.015375,0.000375,0.000125,1.5625e-11,98.82547468,0.1463999347,0
162,0.015625,0.000375,0.000125,1.5625e-11,98.78517458,0.1454698282,0
163,0.015875,0.000375,0.000125,1.5625e-11,98.74466812,0.1444891153,0
164,0.016125,0.000375,0.000125,1.5625e-11,98.70399862,0.1434499494,0
165,0.016375,0.000375,0.000125,1.5625e-11,98.66321437,0.142343182,0
166,0.016625,0.000375,0.000125,1.5625e-11,98.62236949,0.1411580171,0
167,0.016875,0.000375,0.000125,1.5625e-11,98.58152494,0.13988173,0
168,0.017125,0.000375,0.000125,1.5625e-11,98.54074982,0.1384989142,0
169,0.017375,0.000375,0.000125,1.5625e-11,98.50012266,0.1369921018,0
170,0.017625,0.000375,0.000125,1.5625e-11,98.45973381,0.135338113,0
171,0.017875,0.000375,0.000125,1.5625e-11,98.41968661,0.1335123189,0
172,0.018125,0.000375,0.000125,1.5625e-11,98.3800923,0.1314890071,0
173,0.018375,0.000375,0.000125,1.5625e-11,98.34106917,0.1292383115,0
174,0.018625,0.000375,0.000125,1.5625e-11,98.30278099,0.1267211075,0
175,0.018875,0.000375,0.000125,1.5625e-11,98.2654368,0.1238878793,0
176,0.019125,0.000375,0.000125,1.5625e-11,98.22926482,0.1206772925,0
177,0.019375,0.000375,0.000125,1.5625e-11,98.19452121,0.1170170604,0
178,0.019625,0.000375,0.000125,1.5625e-11,98.16150756,0.1128219013,0
179,0.019875,0.000375,0.000125,1.5625e-11,98.13058392,0.1079889111,0
180,0.020125,0.000375,0.000125,1.5625e-11,98.1021796,0.102394241,0
181,0.020375,0.000375,0.000125,1.5625e-11,98.07680853,0.09588814816,0
182,0.020625,0.000375,0.000125,1.5625e-11,98.05508792,0.08828214629,0
183,0.020875,0.000375,0.000125,1.5625e-11,98.03776366,0.07935868475,0
184,0.021125,0.000375,0.000125,1.5625e-11,98.02568812,0.0687782988,0
185,0.021375,0.000375,0.000125,1.5625e-11,98.01991385,0.05625705051,0
186,0.021625,0.000375,0.000125,1.5625e-11,98.02163065,0.04113566635,0
187,0.021875,0.000375,0.000125,1.5625e-11,98.03242067,0.02270385031,0
188,0.022125,0.000375,0.000125,1.5625e-11,98.0545349,1.060347975e-05,0
189,0.022375,0.000375,0.000125,1.5625e-11,98.09061678,-0.02794555128,0
190,0.022625,0.000375,0.000125,1.5625e-11,98.14369626,-0.06260586528,0
191,0.022875,0.000375,0.000125,1.5625e-11,98.21756309,-0.1058274393,0
192,0.023125,0.000375,0.000125,1.5625e-11,98.31718793,-0.1608509269,0
193,0.023375,0.000375,0.000125,1.5625e-11,98.44971954,-0.2322644488,0
194,0.023625,0.000375,0.000125,1.5625e-11,98.62416326,-0.3273416226,0
195,0.023875,0.000375,0.000125,1.5625e-11,98.85270989,-0.4579178476,0
196,0.024125,0.000375,0.000125,1.5625e-11,99.14974426,-0.645059311,0
197,0.024375,0.000375,0.000125,1.5625e-11,99.537693,-0.9220957262,0
198,0.024625,0.000375,0.000125,1.5625e-11,100.0092267,-1.360839848,0
199,0.024875,0.000375,0.000125,1.5625e-11,100.5608093,-2.016995133,0
200,0.000125,0.000625,0.000125,1.5625e-11,100.0024401,0.01815422036,0
201,0.000375,0.000625,0.000125,1.5625e-11,100.011806,0.04113035788,0
202,0.000625,0.000625,0.000125,1.5625e-11,100.0250912,0.05658044097,0
203,0.000875,0.000625,0.000125,1.5625e-11,100.03799,0.06941736768,0
204,0.001125,0.000625,0.000125,1.5625e-11,100.0495904,0.08054800218,0
205,0.001375,0.000625,0.000125,1.5625e-11,100.0605653,0.09017824373,0
206,0.001625,0.000625,0.000125,1.5625e-11,100.07096,0.09846273306,0
207,0.001875,0.000625,0.000125,1.5625e-11,100.0807546,0.1057405552,0
208,0.002125,0.000625,0.000125,1.5625e-11,100.0899366,0.1122072876,0
209,0.002375,0.000625,0.000125,1.5625e-11,100.0987729,0.1181306295,0
210,0.002625,0.000625,0.000125,1.5625e-11,100.1071461,0.1234971414,0
211,0.002875,0.000625,0.000125,1.5625e-11,100.1154229,0.1282888125,0
212,0.003125,0.000625,0.000125,1.5625e-11,100.1238503,0.1326637537,0
213,0.003375,0.000625,0.000125,1.5625e-11,100.1315743,0.136756071,0
214,0.003625,0.000625,0.000125,1.5625e-11,100.1389487,0.1405886609,0
215,0.003875,0.000625,0.000125,1.5625e-11,100.1460938,0.1441706567,0
216,0.004125,0.000625,0.000125,1.5625e-11,100.1529983,0.1475151943,0
217,0.004375,0.000625,0.000125,1.5625e-11,100.1596672,0.1506333717,0
218,0.004625,0.000625,0.000125,1.5625e-11,100.1661174,0.1535304664,0
219,0.004875,0.000625,0.000125,1.5625e-11,100.17236,0.1562984657,0
220,0.005125,0.000625,0.000125,1.5625e-11,100.1783055,0.1589488093,0
221,0.005375,0.000625,0.000125,1.5625e-11,100.1840997,0.1613940169,0
222,0.005625,0.000625,0.000125,1.5625e-11,100.1896984,0.1636338459,0
223,0.005875,0.000625,0.000125,1.5625e-11,100.1951043,0.1656877217,0
224,0.006125,0.000625,0.000125,1.5625e-11,100.2003303,0.1675749218,0
225,0.006375,0.000625,0.000125,1.5625e-11,100.2053765,0.1693145862,0
226,0.006625,0.000625,0.000125,1.5625e-11,100.2102309,0.1709214208,0
227,0.006875,0.000625,0.000125,1.5625e-11,100.2148743,0.1724152088,0
228,0.007125,0.000625,0.000125,1.5625e-11,100.219284,0.1738315714,0
229,0.007375,0.000625,0.000125,1.5625e-11,100.2234696,0.1751435965,0
230,0.007625,0.000625,0.000125,1.5625e-11,100.2274657,0.1762963167,0
231,0.007875,0.000625,0.000125,1.5625e-11,100.2312864,0.1773035903,0
232,0.008125,0.000625,0.000125,1.5625e-11,100.2349154,0.1781992244,0
233,0.008375,0.000625,0.000125,1.5625e-11,100.2383352,0.1789839964,0
234,0.008625,0.000625,0.000125,1.5625e-11,100.2415405,0.1797238273,0
235,0.008875,0.000625,0.000125,1.5625e-11,100.2445364,0.1803807833,0
236,0.009125,0.000625,0.000125,1.5625e-11,100.2473173,0.1808806995,0
237,0.009375,0.000625,0.000125,1.5625e-11,100.2498613,0.1813059586,0
238,0.009625,0.000625,0.000125,1.5625e-11,100.252146,0.1816898119,0
239,0.009875,0.000625,0.000125,1.5625e-11,100.2541675,0.1820237055,0
240,0.010125,0.000625,0.000125,1.5625e-11,100.2559338,0.1823008721,0
241,0.010375,0.000625,0.000125,1.5625e-11,100.2574519,0.1825212644,0
242,0.010625,0.000625,0.000125,1.5625e-11,100.2587243,0.1826882084,0
243,0.010875,0.000625,0.000125,1.5625e-11,100.2597513,0.1828038798,0
244,0.011125,0.000625,0.000125,1.5625e-11,100.2605354,0.1828700047,0
245,0.011375,0.000625,0.000125,1.5625e-11,100.2610685,0.1828878761,0
246,0.011625,0.000625,0.000125,1.5625e-11,100.2613928,0.1828610498,0
247,0.011875,0.000625,0.000125,1.5625e-11,100.2614204,0.1827924748,0
248,0.012125,0.000625,0.000125,1.5625e-11,100.2612376,0.1826812052,0
249,0.012375,0.000625,0.000125,1.5625e-11,100.260816,0.1825248386,0
250,0.012625,0.000625,0.000125,1.5625e-11,100.260155,0.1823144179,0
251,0.012875,0.000625,0.000125,1.5625e-11,100.2592606,0.1820458113,0
252,0.013125,0.000625,0.000125,1.5625e-11,100.2581426,0.1817259511,0
253,0.013375,0.000625,0.000125,1.5625e-11,100.2568108,0.1813613491,0
254,0.013625,0.000625,0.000125,1.5625e-11,100.2552729,0.1809525816,0
255,0.013875,0.000625,0.000125,1.5625e-11,100.2535358,0.1804996826,0
256,0.014125,0.000625,0.000125,1.5625e-11,100.251609,0.180010387,0
257,0.014375,0.000625,0.000125,1.5625e-11,100.2495022,0.1794881053,0
258,0.014625,0.000625,0.000125,1.5625e-11,100.2472211,0.1789217012,0
259,0.014875,0.000625,0.000125,1.5625e-11,100.2447739,0.1782969932,0
260,0.015125,0.000625,0.000125,1.5625e-11,100.2421746,0.1776048785,0
261,0.015375,0.000625,0.000125,1.5625e-11,100.2394409,0.176838922,0
262,0.015625,0.000625,0.000125,1.5625e-11,100.2365928,0.1759916455,0
263,0.015875,0.000625,0.000125,1.5625e-11,100.2336539,0.1750534134,0
264,0.016125,0.000625,0.000125,1.5625e-11,100.2306517,0.1740125387,0
265,0.016375,0.000625,0.000125,1.5625e-11,100.2276184,0.1728553685,0
266,0.016625,0.000625,0.000125,1.5625e-11,100.2245917,0.1715658536,0
267,0.016875,0.000625,0.000125,1.5625e-11,100.2216146,0.1701252169,0
268,0.017125,0.000625,0.000125,1.5625e-11,100.2187384,0.1685116233,0
269,0.017375,0.000625,0.000125,1.5625e-11,100.2160194,0.1667001259,0
270,0.017625,0.000625,0.000125,1.5625e-11,100.2135275,0.1646664127,0
271,0.017875,0.000625,0.000125,1.5625e-11,100.211348,0.1623821542,0
272,0.018125,0.000625,0.000125,1.5625e-11,100.2095794,0.1598315592,0
273,0.018375,0.000625,0.000125,1.5625e-11,100.2083375,0.1569296055,0
274,0.018625,0.000625,0.000125,1.5625e-11,100.2077526,0.1534584345,0
275,0.018875,0.000625,0.000125,1.5625e-11,100.2079766,0.1494611215,0
276,0.019125,0.000625,0.000125,1.5625e-11,100.2091923,0.1448630658,0
277,0.019375,0.000625,0.000125,1.5625e-11,100.211615,0.1395505636,0
