# Residuals       
# Time            	Ux                	Uy                	p                 	k                 	omega             
52                	6.1452673556e-03	2.5729350306e-02	5.0293741138e-02	3.1905958924e-03	4.0797374278e-04
53                	6.0412217703e-03	2.5274525499e-02	4.9578649900e-02	3.1083091894e-03	3.9540740794e-04
54                	5.8293706809e-03	2.4665854346e-02	4.9300938711e-02	3.0362599476e-03	3.8313782477e-04
55                	5.5885387643e-03	2.4157772458e-02	4.9285070731e-02	2.9672811328e-03	3.7051910241e-04
56                	5.3386745421e-03	2.3999803069e-02	4.9467008310e-02	2.9043698192e-03	3.6027851863e-04
57                	5.1231034947e-03	2.3839865575e-02	4.9639678500e-02	2.8483895812e-03	3.5052281453e-04
58                	4.9364849367e-03	2.3577858008e-02	4.9690868449e-02	2.7924645914e-03	3.4123043756e-04
59                	4.8179003972e-03	2.3435667852e-02	4.9196646745e-02	2.7311321198e-03	3.3252095310e-04
60                	4.7125031936e-03	2.3219427037e-02	4.8683266866e-02	2.6699021152e-03	3.2421120832e-04
61                	4.6082854416e-03	2.2930127509e-02	4.8185218505e-02	2.6042479155e-03	3.1544232651e-04
62                	4.5124887908e-03	2.2570111350e-02	4.7413118576e-02	2.5437177184e-03	3.0824964643e-04
63                	4.4688642199e-03	2.2276518456e-02	4.6525949706e-02	2.4892049746e-03	3.0228647452e-04
64                	4.4176997571e-03	2.2100252567e-02	4.5814196267e-02	2.4303136496e-03	2.9465929325e-04
65                	4.3501179742e-03	2.1710877710e-02	4.5028044175e-02	2.3718285332e-03	2.8712019594e-04
66                	4.2715453493e-03	2.1257012978e-02	4.4070441577e-02	2.3157342550e-03	2.8043242459e-04
67                	4.1893236002e-03	2.0963376901e-02	4.3427638287e-02	2.2643130551e-03	2.7366808055e-04
68                	4.1029765431e-03	2.0700544861e-02	4.2870290588e-02	2.2158124569e-03	2.6723125384e-04
69                	4.0191086606e-03	2.0594080800e-02	4.2303460397e-02	2.1664063986e-03	2.6075312285e-04
70                	3.9351975188e-03	2.0346812893e-02	4.1824788532e-02	2.1133938811e-03	2.5392020544e-04
71                	3.8521808852e-03	2.0176950824e-02	4.1358944385e-02	2.0660791621e-03	2.4797782157e-04
72                	3.7492778138e-03	2.0037964907e-02	4.0999029113e-02	2.0217599889e-03	2.4250662804e-04
73                	3.6842642222e-03	1.9826775126e-02	4.0609306033e-02	1.9816322101e-03	2.3674592454e-04
74                	3.6269219024e-03	1.9687687143e-02	4.0336507847e-02	1.9407573172e-03	2.3187067763e-04
75                	3.5494987303e-03	1.9497054285e-02	4.0137433763e-02	1.8972946644e-03	2.2646250158e-04
76                	3.4523444818e-03	1.9077386161e-02	3.9904520706e-02	1.8568640411e-03	2.2148916544e-04
77                	3.3314044461e-03	1.8740840319e-02	3.9765619345e-02	1.8191856368e-03	2.1688599473e-04
78                	3.2505313342e-03	1.8555505220e-02	3.9448476964e-02	1.7816447421e-03	2.1203652145e-04
79                	3.1840281623e-03	1.8291629746e-02	3.9087161644e-02	1.7433237671e-03	2.0696919996e-04
80                	3.1206422380e-03	1.8082406569e-02	3.8712507908e-02	1.7073402990e-03	2.0273283147e-04
81                	3.0529795624e-03	1.7977004263e-02	3.8253111845e-02	1.6733102203e-03	1.9913445390e-04
82                	2.9868874496e-03	1.7628067882e-02	3.7781716859e-02	1.6372005514e-03	1.9369534139e-04
83                	2.9348159595e-03	1.7335134997e-02	3.7334614221e-02	1.6081267383e-03	1.9004459024e-04
84                	2.8800978108e-03	1.7149158474e-02	3.6898139733e-02	1.5782042682e-03	1.8599746735e-04
85                	2.8235418530e-03	1.7078545150e-02	3.6452579395e-02	1.5459510626e-03	1.8147773950e-04
86                	2.7636613904e-03	1.6908010446e-02	3.6046224728e-02	1.5143920154e-03	1.7722101890e-04
87                	2.7033411381e-03	1.6654334626e-02	3.5590035619e-02	1.4866432420e-03	1.7349324550e-04
88                	2.6421950227e-03	1.6496569513e-02	3.5149443055e-02	1.4627425343e-03	1.6972258634e-04
89                	2.5865650112e-03	1.6371337571e-02	3.4752243479e-02	1.4376366814e-03	1.6575460176e-04
90                	2.5338942619e-03	1.6115435146e-02	3.4322679149e-02	1.4105171245e-03	1.6148851063e-04
91                	2.4805873993e-03	1.5729213773e-02	3.3925983819e-02	1.3818052700e-03	1.5739712495e-04
92                	2.4255750102e-03	1.5523590217e-02	3.3526308725e-02	1.3502501718e-03	1.5323154116e-04
93                	2.3707388635e-03	1.5395741018e-02	3.3178528895e-02	1.3225154892e-03	1.4974194250e-04
94                	2.3148458073e-03	1.5247723790e-02	3.2818484098e-02	1.2917762130e-03	1.4567056936e-04
95                	2.2625972444e-03	1.5090818997e-02	3.2454800595e-02	1.2607910531e-03	1.4195828960e-04
96                	2.2120421456e-03	1.4919773747e-02	3.2090513769e-02	1.2310707274e-03	1.3819039787e-04
97                	2.1639043836e-03	1.4767365987e-02	3.1758808252e-02	1.2022630896e-03	1.3443884984e-04
98                	2.1152026026e-03	1.4672770577e-02	3.1479178814e-02	1.1710850092e-03	1.3057310948e-04
99                	2.0731873722e-03	1.4558671638e-02	3.1171808516e-02	1.1380427311e-03	1.2627721457e-04
100               	2.0323025421e-03	1.4410922075e-02	3.0877810238e-02	1.1041979731e-03	1.2226713023e-04
101               	1.9881574044e-03	1.4229335663e-02	3.0585272920e-02	1.0653481346e-03	1.1730649334e-04
102               	1.9374867580e-03	1.3892078963e-02	3.0349617714e-02	1.0297651651e-03	1.1347838787e-04
103               	1.8804061075e-03	1.3626850880e-02	3.0191289059e-02	9.9299345472e-04	1.0919471064e-04
104               	1.8234856641e-03	1.3482281339e-02	2.9975768940e-02	9.5537776611e-04	1.0521730321e-04
105               	1.7664957087e-03	1.3268230952e-02	2.9745879344e-02	9.1913204401e-04	1.0122060763e-04
106               	1.7165675779e-03	1.3073715412e-02	2.9489745172e-02	8.8376258931e-04	9.7261652803e-05
107               	1.6717901115e-03	1.2871693980e-02	2.9214361770e-02	8.4822553223e-04	9.3456295934e-05
108               	1.6314000621e-03	1.2626669094e-02	2.8889802236e-02	8.1263604004e-04	8.9612986933e-05
109               	1.5932573489e-03	1.2461314551e-02	2.8611594288e-02	7.7795110319e-04	8.5926610377e-05
110               	1.5609053999e-03	1.2320840030e-02	2.8332737069e-02	7.4471090261e-04	8.2168866769e-05
111               	1.5301087898e-03	1.2141502608e-02	2.8076467892e-02	7.1150731293e-04	7.8504978038e-05
112               	1.4975867917e-03	1.2018346654e-02	2.7807884308e-02	6.7853178928e-04	7.4853861723e-05
113               	1.4630575113e-03	1.1815753328e-02	2.7515889371e-02	6.4192675608e-04	7.0519154829e-05
114               	1.4289456831e-03	1.1621262227e-02	2.7203625691e-02	6.1002052658e-04	6.7285674738e-05
115               	1.3938132590e-03	1.1425247806e-02	2.6904531848e-02	5.7791767213e-04	6.3698650292e-05
116               	1.3573481799e-03	1.1272925716e-02	2.6628645317e-02	5.4866468722e-04	6.0516404265e-05
117               	1.3235182930e-03	1.1115228654e-02	2.6337578317e-02	5.1898508757e-04	5.7290796096e-05
