cellI,x,y,z,S,omega,k,nut
75,0.018875,0,0.000125,6.25e-08,276083.2503,36.03958592,2.442486639e-05
76,0.019125,0,0.000125,6.25e-08,275839.7554,35.99214542,2.440506245e-05
77,0.019375,0,0.000125,6.25e-08,275596.1062,35.94468832,2.438524418e-05
78,0.019625,0,0.000125,6.25e-08,275352.9997,35.89735034,2.436546828e-05
79,0.019875,0,0.000125,6.25e-08,275111.1754,35.85027536,2.434579493e-05
80,0.020125,0,0.000125,6.25e-08,274871.4306,35.80361835,2.432628902e-05
81,0.020375,0,0.000125,6.25e-08,274634.6385,35.75754883,2.430702166e-05
82,0.020625,0,0.000125,6.25e-08,274401.7692,35.71225504,2.428807184e-05
83,0.020875,0,0.000125,6.25e-08,274173.9192,35.66794952,2.426952889e-05
84,0.021125,0,0.000125,6.25e-08,273952.3515,35.62487703,2.425149571e-05
85,0.021375,0,0.000125,6.25e-08,273738.5398,35.58332297,2.423409237e-05
86,0.021625,0,0.000125,6.25e-08,273534.2239,35.54362427,2.421746067e-05
87,0.021875,0,0.000125,6.25e-08,273341.4036,35.50616798,2.420176357e-05
88,0.022125,0,0.000125,6.25e-08,273157.3185,35.47041656,2.418677654e-05
89,0.022375,0,0.000125,6.25e-08,272967.5041,35.43356066,2.417132199e-05
90,0.022625,0,0.000125,6.25e-08,272770.8559,35.39538664,2.415530989e-05
91,0.022875,0,0.000125,6.25e-08,272567.8405,35.355986,2.41387781e-05
92,0.023125,0,0.000125,6.25e-08,272357.1291,35.31510188,2.41216183e-05
93,0.023375,0,0.000125,6.25e-08,272135.4099,35.27209308,2.41035606e-05
94,0.023625,0,0.000125,6.25e-08,271895.6143,35.22559073,2.408402901e-05
95,0.023875,0,0.000125,6.25e-08,271624.6531,35.17306076,2.406195684e-05
96,0.024125,0,0.000125,6.25e-08,271294.5522,35.10908884,2.403506419e-05
97,0.024375,0,0.000125,6.25e-08,270860.8044,35.02506953,2.399972259e-05
98,0.024625,0,0.000125,6.25e-08,270155.3669,34.88851704,2.394223154e-05
99,0.024875,0,0.000125,6.25e-08,269136.9188,34.69158246,2.385920413e-05
21600,0.125125,0,0.000125,6.25e-08,322134.6667,45.22569557,2.81404147e-05
21601,0.125375,0,0.000125,6.25e-08,316214.2036,44.02345951,2.76658932e-05
21602,0.125625,0,0.000125,6.25e-08,307282.6972,42.22056801,2.694834758e-05
21603,0.125875,0,0.000125,6.25e-08,297111.6933,40.18451627,2.612866486e-05
21604,0.126125,0,0.000125,6.25e-08,287085.8285,38.19684186,2.531790885e-05
21605,0.126375,0,0.000125,6.25e-08,277455.2924,36.30715287,2.453642435e-05
21606,0.126625,0,0.000125,6.25e-08,268382.1636,34.54579684,2.379765327e-05
21607,0.126875,0,0.000125,6.25e-08,260076.5068,32.9506965,2.311914469e-05
21608,0.127125,0,0.000125,6.25e-08,252685.1264,31.54593071,2.251346621e-05
21609,0.127375,0,0.000125,6.25e-08,246247.9454,30.33444342,2.198450205e-05
21610,0.127625,0,0.000125,6.25e-08,240757.0574,29.31023139,2.153217744e-05
21611,0.127875,0,0.000125,6.25e-08,236570.7812,28.53526069,2.118661165e-05
21612,0.128125,0,0.000125,6.25e-08,233710.4569,28.00876883,2.095013811e-05
21613,0.128375,0,0.000125,6.25e-08,231985.7296,27.6925101,2.080740458e-05
21614,0.128625,0,0.000125,6.25e-08,231175.6422,27.54428368,2.074032631e-05
21615,0.128875,0,0.000125,6.25e-08,231098.1855,27.53012167,2.073391134e-05
