cellI,surfNorm_x,surfNorm_y,surfNorm_z,sigma,yOrtho,intCell0,intCell1,intCell2,intPoint0_x,intPoint0_y,intPoint0_z,intPoint1_x,intPoint1_y,intPoint1_z,intPoint2_x,intPoint2_y,intPoint2_z
20429,-0,-1,-5.421010862e-17,-7.349958277e-05,7.349958277e-05,20429,20029,19629,0.032375,0.01044849958,0.000125,0.032375,0.01019641745,0.000125,0.032375,0.009944335312,0.000125
20430,4.206412996e-15,-1,-5.421010862e-17,-7.349958277e-05,7.349958277e-05,20430,20030,19630,0.032625,0.01044849958,0.000125,0.032625,0.01019641745,0.000125,0.032625,0.009944335312,0.000125
20431,5.286437954e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20431,20031,19631,0.032875,0.01044849958,0.000125,0.032875,0.01019641745,0.000125,0.032875,0.009944335312,0.000125
20432,1.705302566e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20432,20032,19632,0.033125,0.01044849958,0.000125,0.033125,0.01019641745,0.000125,0.033125,0.009944335312,0.000125
20433,-1.98951966e-15,-1,-7.642090019e-31,-7.349958277e-05,7.349958277e-05,20433,20033,19633,0.033375,0.01044849958,0.000125,0.033375,0.01019641745,0.000125,0.033375,0.009944335312,0.000125
20434,5.087485988e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20434,20034,19634,0.033625,0.01044849958,0.000125,0.033625,0.01019641745,0.000125,0.033625,0.009944335312,0.000125
20435,3.922195901e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20435,20035,19635,0.033875,0.01044849958,0.000125,0.033875,0.01019641745,0.000125,0.033875,0.009944335312,0.000125
20436,1.98951966e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20436,20036,19636,0.034125,0.01044849958,0.000125,0.034125,0.01019641745,0.000125,0.034125,0.009944335312,0.000125
20437,-1.165290087e-15,-1,2.168404345e-16,-7.349958277e-05,7.349958277e-05,20437,20037,19637,0.034375,0.01044849958,0.000125,0.034375,0.01019641745,0.000125,0.034375,0.009944335312,0.000125
20438,3.041122909e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20438,20038,19638,0.034625,0.01044849958,0.000125,0.034625,0.01019641745,0.000125,0.034625,0.009944335312,0.000125
20439,-3.780087354e-15,-1,3.565651292e-31,-7.349958277e-05,7.349958277e-05,20439,20039,19639,0.034875,0.01044849958,0.000125,0.034875,0.01019641745,0.000125,0.034875,0.009944335312,0.000125
20440,9.379164112e-16,-1,-1.084202172e-16,-7.349958277e-05,7.349958277e-05,20440,20040,19640,0.035125,0.01044849958,0.000125,0.035125,0.01019641745,0.000125,0.035125,0.009944335312,0.000125
20441,4.661160347e-15,-1,-5.421010862e-17,-7.349958277e-05,7.349958277e-05,20441,20041,19641,0.035375,0.01044849958,0.000125,0.035375,0.01019641745,0.000125,0.035375,0.009944335312,0.000125
20442,3.069544618e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20442,20042,19642,0.035625,0.01044849958,0.000125,0.035625,0.01019641745,0.000125,0.035625,0.009944335312,0.000125
20443,-2.842170943e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20443,20043,19643,0.035875,0.01044849958,0.000125,0.035875,0.01019641745,0.000125,0.035875,0.009944335312,0.000125
20444,-6.167510946e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20444,20044,19644,0.036125,0.01044849958,0.000125,0.036125,0.01019641745,0.000125,0.036125,0.009944335312,0.000125
20445,1.98951966e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20445,20045,19645,0.036375,0.01044849958,0.000125,0.036375,0.01019641745,0.000125,0.036375,0.009944335312,0.000125
20446,-5.854872143e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20446,20046,19646,0.036625,0.01044849958,0.000125,0.036625,0.01019641745,0.000125,0.036625,0.009944335312,0.000125
20447,-8.810729923e-16,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20447,20047,19647,0.036875,0.01044849958,0.000125,0.036875,0.01019641745,0.000125,0.036875,0.009944335312,0.000125
20448,-0,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20448,20048,19648,0.037125,0.01044849958,0.000125,0.037125,0.01019641745,0.000125,0.037125,0.009944335312,0.000125
20449,2.842170943e-17,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20449,20049,19649,0.037375,0.01044849958,0.000125,0.037375,0.01019641745,0.000125,0.037375,0.009944335312,0.000125
20450,2.273736754e-16,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20450,20050,19650,0.037625,0.01044849958,0.000125,0.037625,0.01019641745,0.000125,0.037625,0.009944335312,0.000125
20451,-3.950617611e-15,-1,2.168404345e-16,-7.349958277e-05,7.349958277e-05,20451,20051,19651,0.037875,0.01044849958,0.000125,0.037875,0.01019641745,0.000125,0.037875,0.009944335312,0.000125
20452,-1.335820343e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20452,20052,19652,0.038125,0.01044849958,0.000125,0.038125,0.01019641745,0.000125,0.038125,0.009944335312,0.000125
20453,-5.940137271e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20453,20053,19653,0.038375,0.01044849958,0.000125,0.038375,0.01019641745,0.000125,0.038375,0.009944335312,0.000125
20454,6.451728041e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20454,20054,19654,0.038625,0.01044849958,0.000125,0.038625,0.01019641745,0.000125,0.038625,0.009944335312,0.000125
20455,2.813749234e-15,-1,2.168404345e-16,-7.349958277e-05,7.349958277e-05,20455,20055,19655,0.038875,0.01044849958,0.000125,0.038875,0.01019641745,0.000125,0.038875,0.009944335312,0.000125
20456,-1.108446668e-15,-1,2.168404345e-16,-7.349958277e-05,7.349958277e-05,20456,20056,19656,0.039125,0.01044849958,0.000125,0.039125,0.01019641745,0.000125,0.039125,0.009944335312,0.000125
20457,-3.950617611e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20457,20057,19657,0.039375,0.01044849958,0.000125,0.039375,0.01019641745,0.000125,0.039375,0.009944335312,0.000125
20458,5.030642569e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20458,20058,19658,0.039625,0.01044849958,0.000125,0.039625,0.01019641745,0.000125,0.039625,0.009944335312,0.000125
20459,8.952838471e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20459,20059,19659,0.039875,0.01044849958,0.000125,0.039875,0.01019641745,0.000125,0.039875,0.009944335312,0.000125
20460,-2.47268872e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20460,20060,19660,0.040125,0.01044849958,0.000125,0.040125,0.01019641745,0.000125,0.040125,0.009944335312,0.000125
20461,-1.335820343e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20461,20061,19661,0.040375,0.01044849958,0.000125,0.040375,0.01019641745,0.000125,0.040375,0.009944335312,0.000125
20462,2.273736754e-16,-1,-2.839899259e-32,-7.349958277e-05,7.349958277e-05,20462,20062,19662,0.040625,0.01044849958,0.000125,0.040625,0.01019641745,0.000125,0.040625,0.009944335312,0.000125
20463,4.179989688e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20463,20063,19663,0.040875,0.01044849958,0.000125,0.040875,0.01019641745,0.000125,0.040875,0.009944335312,0.000125
20464,-8.526512829e-17,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20464,20064,19664,0.041125,0.01044849958,0.000125,0.041125,0.01019641745,0.000125,0.041125,0.009944335312,0.000125
20465,2.842170943e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20465,20065,19665,0.041375,0.01044849958,0.000125,0.041375,0.01019641745,0.000125,0.041375,0.009944335312,0.000125
20466,-5.030642569e-15,-1,-5.421010862e-17,-7.349958277e-05,7.349958277e-05,20466,20066,19666,0.041625,0.01044849958,0.000125,0.041625,0.01019641745,0.000125,0.041625,0.009944335312,0.000125
20467,-5.911715562e-15,-1,-1.084202172e-16,-7.349958277e-05,7.349958277e-05,20467,20067,19667,0.041875,0.01044849958,0.000125,0.041875,0.01019641745,0.000125,0.041875,0.009944335312,0.000125
20468,3.353761713e-15,-1,-4.511298302e-30,-7.349958277e-05,7.349958277e-05,20468,20068,19668,0.042125,0.01044849958,0.000125,0.042125,0.01019641745,0.000125,0.042125,0.009944335312,0.000125
20469,8.810729923e-16,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20469,20069,19669,0.042375,0.01044849958,0.000125,0.042375,0.01019641745,0.000125,0.042375,0.009944335312,0.000125
20470,4.348521543e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20470,20070,19670,0.042625,0.01044849958,0.000125,0.042625,0.01019641745,0.000125,0.042625,0.009944335312,0.000125
20471,2.216893336e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20471,20071,19671,0.042875,0.01044849958,0.000125,0.042875,0.01019641745,0.000125,0.042875,0.009944335312,0.000125
20472,-7.645439837e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20472,20072,19672,0.043125,0.01044849958,0.000125,0.043125,0.01019641745,0.000125,0.043125,0.009944335312,0.000125
20473,1.961097951e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20473,20073,19673,0.043375,0.01044849958,0.000125,0.043375,0.01019641745,0.000125,0.043375,0.009944335312,0.000125
20474,-0,-1,-2.255649151e-30,-7.349958277e-05,7.349958277e-05,20474,20074,19674,0.043625,0.01044849958,0.000125,0.043625,0.01019641745,0.000125,0.043625,0.009944335312,0.000125
20475,-3.893774192e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20475,20075,19675,0.043875,0.01044849958,0.000125,0.043875,0.01019641745,0.000125,0.043875,0.009944335312,0.000125
20476,5.030642569e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20476,20076,19676,0.044125,0.01044849958,0.000125,0.044125,0.01019641745,0.000125,0.044125,0.009944335312,0.000125
20477,2.756905815e-15,-1,2.710505431e-16,-7.349958277e-05,7.349958277e-05,20477,20077,19677,0.044375,0.01044849958,0.000125,0.044375,0.01019641745,0.000125,0.044375,0.009944335312,0.000125
20478,-7.048583939e-15,-1,2.710505431e-16,-7.349958277e-05,7.349958277e-05,20478,20078,19678,0.044625,0.01044849958,0.000125,0.044625,0.01019641745,0.000125,0.044625,0.009944335312,0.000125
20479,2.785327524e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20479,20079,19679,0.044875,0.01044849958,0.000125,0.044875,0.01019641745,0.000125,0.044875,0.009944335312,0.000125
20480,-4.803268894e-15,-1,2.249919509e-30,-7.349958277e-05,7.349958277e-05,20480,20080,19680,0.045125,0.01044849958,0.000125,0.045125,0.01019641745,0.000125,0.045125,0.009944335312,0.000125
20481,2.557953849e-16,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20481,20081,19681,0.045375,0.01044849958,0.000125,0.045375,0.01019641745,0.000125,0.045375,0.009944335312,0.000125
20482,-1.932676241e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20482,20082,19682,0.045625,0.01044849958,0.000125,0.045625,0.01019641745,0.000125,0.045625,0.009944335312,0.000125
20483,8.810729923e-16,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20483,20083,19683,0.045875,0.01044849958,0.000125,0.045875,0.01019641745,0.000125,0.045875,0.009944335312,0.000125
20484,-2.813749234e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20484,20084,19684,0.046125,0.01044849958,0.000125,0.046125,0.01019641745,0.000125,0.046125,0.009944335312,0.000125
20485,2.216893336e-15,-1,2.168404345e-16,-7.349958277e-05,7.349958277e-05,20485,20085,19685,0.046375,0.01044849958,0.000125,0.046375,0.01019641745,0.000125,0.046375,0.009944335312,0.000125
20486,-2.188471626e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20486,20086,19686,0.046625,0.01044849958,0.000125,0.046625,0.01019641745,0.000125,0.046625,0.009944335312,0.000125
20487,2.50111043e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20487,20087,19687,0.046875,0.01044849958,0.000125,0.046875,0.01019641745,0.000125,0.046875,0.009944335312,0.000125
20488,-6.735945135e-15,-1,-1.232595164e-32,-7.349958277e-05,7.349958277e-05,20488,20088,19688,0.047125,0.01044849958,0.000125,0.047125,0.01019641745,0.000125,0.047125,0.009944335312,0.000125
20489,-8.526512829e-16,-1,-2.820966597e-30,-7.349958277e-05,7.349958277e-05,20489,20089,19689,0.047375,0.01044849958,0.000125,0.047375,0.01019641745,0.000125,0.047375,0.009944335312,0.000125
20490,-8.98126018e-15,-1,-5.421010862e-17,-7.349958277e-05,7.349958277e-05,20490,20090,19690,0.047625,0.01044849958,0.000125,0.047625,0.01019641745,0.000125,0.047625,0.009944335312,0.000125
20491,-3.694822226e-15,-1,-5.421010862e-17,-7.349958277e-05,7.349958277e-05,20491,20091,19691,0.047875,0.01044849958,0.000125,0.047875,0.01019641745,0.000125,0.047875,0.009944335312,0.000125
20492,4.206412996e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20492,20092,19692,0.048125,0.01044849958,0.000125,0.048125,0.01019641745,0.000125,0.048125,0.009944335312,0.000125
20493,4.774847184e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20493,20093,19693,0.048375,0.01044849958,0.000125,0.048375,0.01019641745,0.000125,0.048375,0.009944335312,0.000125
20494,-3.922195901e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20494,20094,19694,0.048625,0.01044849958,0.000125,0.048625,0.01019641745,0.000125,0.048625,0.009944335312,0.000125
20495,3.666400517e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20495,20095,19695,0.048875,0.01044849958,0.000125,0.048875,0.01019641745,0.000125,0.048875,0.009944335312,0.000125
20496,-3.950617611e-15,-1,5.421010862e-17,-7.349958277e-05,7.349958277e-05,20496,20096,19696,0.049125,0.01044849958,0.000125,0.049125,0.01019641745,0.000125,0.049125,0.009944335312,0.000125
20497,5.030642569e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20497,20097,19697,0.049375,0.01044849958,0.000125,0.049375,0.01019641745,0.000125,0.049375,0.009944335312,0.000125
20498,-6.167510946e-15,-1,1.626303259e-16,-7.349958277e-05,7.349958277e-05,20498,20098,19698,0.049625,0.01044849958,0.000125,0.049625,0.01019641745,0.000125,0.049625,0.009944335312,0.000125
20499,3.922195901e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20499,20099,19699,0.049875,0.01044849958,0.000125,0.049875,0.01019641745,0.000125,0.049875,0.009944335312,0.000125
20500,3.922195901e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20500,20100,19700,0.050125,0.01044849958,0.000125,0.050125,0.01019641745,0.000125,0.050125,0.009944335312,0.000125
20501,4.177991286e-15,-1,1.084202172e-16,-7.349958277e-05,7.349958277e-05,20501,20101,19701,0.050375,0.01044849958,0.000125,0.050375,0.01019641745,0.000125,0.050375,0.009944335312,0.000125
