cellI,cellCenter,surfNorm,body,sigma,order,intPoints,intCells
20422,(0.030625 0.010375 0.000125),(2.302158464e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20422,(0.030625 0.01044849958 0.000125),20022,(0.030625 0.01019641745 0.000125),19622,(0.030625 0.009944335312 0.000125)
20423,(0.030875 0.010375 0.000125),(-4.575895218e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20423,(0.030875 0.01044849958 0.000125),20023,(0.030875 0.01019641745 0.000125),19623,(0.030875 0.009944335312 0.000125)
20424,(0.031125 0.010375 0.000125),(2.614797268e-15 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20424,(0.031125 0.01044849958 0.000125),20024,(0.031125 0.01019641745 0.000125),19624,(0.031125 0.009944335312 0.000125)
20425,(0.031375 0.010375 0.000125),(-1.421085472e-15 -1 -1.503766101e-30),0.35821041,-7.349958277e-05,20425,(0.031375 0.01044849958 0.000125),20025,(0.031375 0.01019641745 0.000125),19625,(0.031375 0.009944335312 0.000125)
20426,(0.031625 0.010375 0.000125),(1.108446668e-15 -1 -1.516092052e-30),0.35821041,-7.349958277e-05,20426,(0.031625 0.01044849958 0.000125),20026,(0.031625 0.01019641745 0.000125),19626,(0.031625 0.009944335312 0.000125)
20427,(0.031875 0.010375 0.000125),(-5.00222086e-15 -1 -2.805189379e-30),0.35821041,-7.349958277e-05,20427,(0.031875 0.01044849958 0.000125),20027,(0.031875 0.01019641745 0.000125),19627,(0.031875 0.009944335312 0.000125)
20428,(0.032125 0.010375 0.000125),(-8.128608897e-15 -1 -1.618742578e-30),0.35821041,-7.349958277e-05,20428,(0.032125 0.01044849958 0.000125),20028,(0.032125 0.01019641745 0.000125),19628,(0.032125 0.009944335312 0.000125)
20429,(0.032375 0.010375 0.000125),(-0 -1 -5.421010862e-17),0.35821041,-7.349958277e-05,20429,(0.032375 0.01044849958 0.000125),20029,(0.032375 0.01019641745 0.000125),19629,(0.032375 0.009944335312 0.000125)
20430,(0.032625 0.010375 0.000125),(4.206412996e-15 -1 -5.421010862e-17),0.35821041,-7.349958277e-05,20430,(0.032625 0.01044849958 0.000125),20030,(0.032625 0.01019641745 0.000125),19630,(0.032625 0.009944335312 0.000125)
20431,(0.032875 0.010375 0.000125),(5.286437954e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20431,(0.032875 0.01044849958 0.000125),20031,(0.032875 0.01019641745 0.000125),19631,(0.032875 0.009944335312 0.000125)
20432,(0.033125 0.010375 0.000125),(1.705302566e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20432,(0.033125 0.01044849958 0.000125),20032,(0.033125 0.01019641745 0.000125),19632,(0.033125 0.009944335312 0.000125)
20433,(0.033375 0.010375 0.000125),(-1.98951966e-15 -1 -7.642090019e-31),0.35821041,-7.349958277e-05,20433,(0.033375 0.01044849958 0.000125),20033,(0.033375 0.01019641745 0.000125),19633,(0.033375 0.009944335312 0.000125)
20434,(0.033625 0.010375 0.000125),(5.087485988e-15 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20434,(0.033625 0.01044849958 0.000125),20034,(0.033625 0.01019641745 0.000125),19634,(0.033625 0.009944335312 0.000125)
20435,(0.033875 0.010375 0.000125),(3.922195901e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20435,(0.033875 0.01044849958 0.000125),20035,(0.033875 0.01019641745 0.000125),19635,(0.033875 0.009944335312 0.000125)
20436,(0.034125 0.010375 0.000125),(1.98951966e-15 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20436,(0.034125 0.01044849958 0.000125),20036,(0.034125 0.01019641745 0.000125),19636,(0.034125 0.009944335312 0.000125)
20437,(0.034375 0.010375 0.000125),(-1.165290087e-15 -1 2.168404345e-16),0.35821041,-7.349958277e-05,20437,(0.034375 0.01044849958 0.000125),20037,(0.034375 0.01019641745 0.000125),19637,(0.034375 0.009944335312 0.000125)
20438,(0.034625 0.010375 0.000125),(3.041122909e-15 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20438,(0.034625 0.01044849958 0.000125),20038,(0.034625 0.01019641745 0.000125),19638,(0.034625 0.009944335312 0.000125)
20439,(0.034875 0.010375 0.000125),(-3.780087354e-15 -1 3.565651292e-31),0.35821041,-7.349958277e-05,20439,(0.034875 0.01044849958 0.000125),20039,(0.034875 0.01019641745 0.000125),19639,(0.034875 0.009944335312 0.000125)
20440,(0.035125 0.010375 0.000125),(9.379164112e-16 -1 -1.084202172e-16),0.35821041,-7.349958277e-05,20440,(0.035125 0.01044849958 0.000125),20040,(0.035125 0.01019641745 0.000125),19640,(0.035125 0.009944335312 0.000125)
20441,(0.035375 0.010375 0.000125),(4.661160347e-15 -1 -5.421010862e-17),0.35821041,-7.349958277e-05,20441,(0.035375 0.01044849958 0.000125),20041,(0.035375 0.01019641745 0.000125),19641,(0.035375 0.009944335312 0.000125)
20442,(0.035625 0.010375 0.000125),(3.069544618e-15 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20442,(0.035625 0.01044849958 0.000125),20042,(0.035625 0.01019641745 0.000125),19642,(0.035625 0.009944335312 0.000125)
20443,(0.035875 0.010375 0.000125),(-2.842170943e-15 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20443,(0.035875 0.01044849958 0.000125),20043,(0.035875 0.01019641745 0.000125),19643,(0.035875 0.009944335312 0.000125)
