cellI,x,y,z,S,omega,k,nut
76,0.019125,0,0.000125,6.25e-08,275828.9391,35.99003838,2.44041827e-05
77,0.019375,0,0.000125,6.25e-08,275583.4315,35.94221996,2.438421319e-05
78,0.019625,0,0.000125,6.25e-08,275338.1398,35.89445724,2.436425943e-05
79,0.019875,0,0.000125,6.25e-08,275093.7434,35.84688246,2.434437671e-05
80,0.020125,0,0.000125,6.25e-08,274850.9675,35.7996366,2.432462405e-05
81,0.020375,0,0.000125,6.25e-08,274610.5991,35.75287252,2.430506553e-05
82,0.020625,0,0.000125,6.25e-08,274373.5055,35.7067585,2.428577178e-05
83,0.020875,0,0.000125,6.25e-08,274140.6564,35.66148255,2.426682177e-05
84,0.021125,0,0.000125,6.25e-08,273913.1548,35.6172584,2.424830539e-05
85,0.021375,0,0.000125,6.25e-08,273692.2789,35.57433361,2.423032678e-05
86,0.021625,0,0.000125,6.25e-08,273479.5256,35.53299799,2.421300794e-05
87,0.021875,0,0.000125,6.25e-08,273276.6696,35.49359501,2.419649349e-05
88,0.022125,0,0.000125,6.25e-08,273085.7352,35.45651639,2.418094845e-05
89,0.022375,0,0.000125,6.25e-08,272900.3571,35.42052484,2.416585464e-05
90,0.022625,0,0.000125,6.25e-08,272709.2077,35.38342114,2.415028985e-05
91,0.022875,0,0.000125,6.25e-08,272511.0627,35.34496845,2.413415425e-05
92,0.023125,0,0.000125,6.25e-08,272306.4119,35.30526283,2.411748762e-05
93,0.023375,0,0.000125,6.25e-08,272093.1522,35.2638973,2.410011853e-05
94,0.023625,0,0.000125,6.25e-08,271866.8325,35.22001013,2.408168422e-05
95,0.023875,0,0.000125,6.25e-08,271618.6756,35.17190212,2.40614694e-05
96,0.024125,0,0.000125,6.25e-08,271329.8703,35.11593209,2.403794097e-05
97,0.024375,0,0.000125,6.25e-08,270969.5278,35.0461257,2.400858091e-05
98,0.024625,0,0.000125,6.25e-08,270427.8704,34.94125201,2.396444006e-05
99,0.024875,0,0.000125,6.25e-08,269669.549,34.79454503,2.390262728e-05
36000,0.125125,0,0.000125,6.25e-08,354175.5014,51.81686244,3.069376396e-05
36001,0.125375,0,0.000125,6.25e-08,344818.3292,49.87863748,2.995055546e-05
36002,0.125625,0,0.000125,6.25e-08,333294.8518,47.50618537,2.903251314e-05
36003,0.125875,0,0.000125,6.25e-08,321135.3878,45.022395,2.806036221e-05
36004,0.126125,0,0.000125,6.25e-08,309460.2865,42.65888796,2.712346659e-05
36005,0.126375,0,0.000125,6.25e-08,298458.5573,40.45303637,2.623735722e-05
36006,0.126625,0,0.000125,6.25e-08,288234.2698,38.42350017,2.541091374e-05
36007,0.126875,0,0.000125,6.25e-08,278896.4766,36.58865693,2.465353755e-05
36008,0.127125,0,0.000125,6.25e-08,270513.9251,34.95790898,2.397144999e-05
36009,0.127375,0,0.000125,6.25e-08,263079.3637,33.52542142,2.336470239e-05
36010,0.127625,0,0.000125,6.25e-08,256551.9554,32.27905724,2.283054847e-05
36011,0.127875,0,0.000125,6.25e-08,250987.826,31.22539497,2.237412672e-05
36012,0.128125,0,0.000125,6.25e-08,246440.9709,30.37060437,2.200038253e-05
36013,0.128375,0,0.000125,6.25e-08,242805.7889,29.69136877,2.170106796e-05
36014,0.128625,0,0.000125,6.25e-08,239964.9954,29.16320681,2.146684176e-05
36015,0.128875,0,0.000125,6.25e-08,237794.7855,28.76131286,2.128771384e-05
36016,0.129125,0,0.000125,6.25e-08,236196.6779,28.46625992,2.115569943e-05
36017,0.129375,0,0.000125,6.25e-08,235070.2757,28.25875759,2.106259583e-05
36018,0.129625,0,0.000125,6.25e-08,234327.0502,28.12205338,2.100113884e-05
36019,0.129875,0,0.000125,6.25e-08,233881.8744,28.04025112,2.096431787e-05
36020,0.130125,0,0.000125,6.25e-08,233672.6607,28.00182846,2.094701114e-05
36021,0.130375,0,0.000125,6.25e-08,233646.5098,27.99702671,2.094484782e-05
36022,0.130625,0,0.000125,6.25e-08,233761.2749,28.01810105,2.095434195e-05
36023,0.130875,0,0.000125,6.25e-08,233981.2731,28.05851066,2.097254024e-05
36024,0.131125,0,0.000125,6.25e-08,234277.0314,28.11285928,2.099700261e-05
36025,0.131375,0,0.000125,6.25e-08,234623.6167,28.17658182,2.102566484e-05
36026,0.131625,0,0.000125,6.25e-08,235001.747,28.24614582,2.105693081e-05
36027,0.131875,0,0.000125,6.25e-08,235396.3064,28.31877853,2.108954972e-05
36028,0.132125,0,0.000125,6.25e-08,235796.4841,28.39249357,2.112262732e-05
36029,0.132375,0,0.000125,6.25e-08,236193.2418,28.46562635,2.115541653e-05
36030,0.132625,0,0.000125,6.25e-08,236578.8944,28.53675758,2.118728254e-05
36031,0.132875,0,0.000125,6.25e-08,236948.3025,28.60493447,2.121780126e-05
36032,0.133125,0,0.000125,6.25e-08,237298.0255,28.669516,2.124668918e-05
36033,0.133375,0,0.000125,6.25e-08,237625.7214,28.73006305,2.127375363e-05
36034,0.133625,0,0.000125,6.25e-08,237929.873,28.78628855,2.12988701e-05
36035,0.133875,0,0.000125,6.25e-08,238209.6581,28.83803397,2.13219715e-05
36036,0.134125,0,0.000125,6.25e-08,238464.8312,28.88524772,2.134303828e-05
36037,0.134375,0,0.000125,6.25e-08,238695.5769,28.92795838,2.136208637e-05
36038,0.134625,0,0.000125,6.25e-08,238902.5711,28.96628609,2.137917216e-05
36039,0.134875,0,0.000125,6.25e-08,239086.0463,29.00026953,2.139431535e-05
36040,0.135125,0,0.000125,6.25e-08,239246.8338,29.03005889,2.140758501e-05
36041,0.135375,0,0.000125,6.25e-08,239386.0198,29.05585227,2.141907118e-05
36042,0.135625,0,0.000125,6.25e-08,239504.8354,29.07787521,2.142887577e-05
36043,0.135875,0,0.000125,6.25e-08,239604.5615,29.09636303,2.143710469e-05
36044,0.136125,0,0.000125,6.25e-08,239686.4677,29.11154949,2.144386295e-05
36045,0.136375,0,0.000125,6.25e-08,239751.8264,29.12366925,2.144925566e-05
36046,0.136625,0,0.000125,6.25e-08,239801.7813,29.13293345,2.14533773e-05
36047,0.136875,0,0.000125,6.25e-08,239837.3783,29.13953539,2.145631425e-05
36048,0.137125,0,0.000125,6.25e-08,239860.1906,29.14376644,2.145819636e-05
36049,0.137375,0,0.000125,6.25e-08,239871.2634,29.1458202,2.14591099e-05
36050,0.137625,0,0.000125,6.25e-08,239871.6151,29.14588545,2.14591389e-05
36051,0.137875,0,0.000125,6.25e-08,239862.2218,29.14414319,2.145836389e-05
36052,0.138125,0,0.000125,6.25e-08,239844.0148,29.14076627,2.14568617e-05
36053,0.138375,0,0.000125,6.25e-08,239817.8939,29.1359217,2.145470656e-05
36054,0.138625,0,0.000125,6.25e-08,239784.6697,29.12975998,2.145196531e-05
36055,0.138875,0,0.000125,6.25e-08,239745.0443,29.12241155,2.144869588e-05
36056,0.139125,0,0.000125,6.25e-08,239699.7488,29.11401217,2.144495856e-05
36057,0.139375,0,0.000125,6.25e-08,239649.4763,29.10469056,2.144081049e-05
36058,0.139625,0,0.000125,6.25e-08,239594.8676,29.09456579,2.143630454e-05
36059,0.139875,0,0.000125,6.25e-08,239536.5157,29.08374798,2.143148961e-05
36060,0.140125,0,0.000125,6.25e-08,239474.9646,29.07233815,2.142641056e-05
36061,0.140375,0,0.000125,6.25e-08,239410.6918,29.06042499,2.14211068e-05
36062,0.140625,0,0.000125,6.25e-08,239344.1573,29.04809389,2.141561623e-05
36063,0.140875,0,0.000125,6.25e-08,239275.7923,29.03542489,2.140997445e-05
36064,0.141125,0,0.000125,6.25e-08,239205.9883,29.02249067,2.140421375e-05
36065,0.141375,0,0.000125,6.25e-08,239135.1028,29.0093575,2.139836362e-05
36066,0.141625,0,0.000125,6.25e-08,239063.4613,28.99608578,2.139245092e-05
36067,0.141875,0,0.000125,6.25e-08,238991.3638,28.98273112,2.13865004e-05
36068,0.142125,0,0.000125,6.25e-08,238919.0815,28.96934375,2.138053443e-05
36069,0.142375,0,0.000125,6.25e-08,238846.8618,28.95596953,2.137457346e-05
36070,0.142625,0,0.000125,6.25e-08,238774.9116,28.94264675,2.136863454e-05
36071,0.142875,0,0.000125,6.25e-08,238703.4241,28.92941117,2.136273364e-05
36072,0.143125,0,0.000125,6.25e-08,238632.5744,28.91629517,2.13568852e-05
36073,0.143375,0,0.000125,6.25e-08,238562.5185,28.90332756,2.135110211e-05
36074,0.143625,0,0.000125,6.25e-08,238493.3861,28.89053234,2.134539509e-05
36075,0.143875,0,0.000125,6.25e-08,238425.291,28.87793048,2.133977353e-05
36076,0.144125,0,0.000125,6.25e-08,238358.3378,28.86554129,2.133424608e-05
36077,0.144375,0,0.000125,6.25e-08,238292.6231,28.85338256,2.132882072e-05
36078,0.144625,0,0.000125,6.25e-08,238228.228,28.84146924,2.132350416e-05
36079,0.144875,0,0.000125,6.25e-08,238165.2222,28.82981412,2.131830215e-05
36080,0.145125,0,0.000125,6.25e-08,238103.6632,28.8184278,2.131321947e-05
36081,0.145375,0,0.000125,6.25e-08,238043.6002,28.80731925,2.130826017e-05
36082,0.145625,0,0.000125,6.25e-08,237985.0716,28.79649554,2.130342745e-05
36083,0.145875,0,0.000125,6.25e-08,237928.1098,28.78596253,2.129872397e-05
36084,0.146125,0,0.000125,6.25e-08,237872.7375,28.77572438,2.129415164e-05
36085,0.146375,0,0.000125,6.25e-08,237818.9736,28.76578449,2.128971201e-05
36086,0.146625,0,0.000125,6.25e-08,237766.8285,28.75614471,2.128540596e-05
36087,0.146875,0,0.000125,6.25e-08,237716.3118,28.74680672,2.128123428e-05
36088,0.147125,0,0.000125,6.25e-08,237667.4241,28.73777059,2.127719704e-05
36089,0.147375,0,0.000125,6.25e-08,237620.1678,28.72903667,2.127329445e-05
36090,0.147625,0,0.000125,6.25e-08,237574.5349,28.72060341,2.126952584e-05
36091,0.147875,0,0.000125,6.25e-08,237530.5219,28.71247012,2.126589094e-05
36092,0.148125,0,0.000125,6.25e-08,237488.1079,28.70463287,2.126238804e-05
36093,0.148375,0,0.000125,6.25e-08,237447.2958,28.6970921,2.125901737e-05
36094,0.148625,0,0.000125,6.25e-08,237407.9983,28.68983165,2.125577173e-05
36095,0.148875,0,0.000125,6.25e-08,237370.2891,28.68286509,2.125265723e-05
36096,0.149125,0,0.000125,6.25e-08,237333.7909,28.67612267,2.12496427e-05
36097,0.149375,0,0.000125,6.25e-08,237298.9184,28.66968093,2.124676239e-05
36098,0.149625,0,0.000125,6.25e-08,237264.5081,28.66332493,2.124392022e-05
36099,0.149875,0,0.000125,6.25e-08,237234.1506,28.65771782,2.124141275e-05
3900,0.000125,0.01,0.000125,6.25e-08,99678.53782,7.12568397,9.420189198e-06
3901,0.000375,0.01,0.000125,6.25e-08,112324.0388,8.686903391,1.055896635e-05
3902,0.000625,0.01,0.000125,6.25e-08,124093.0269,10.234617,1.160603558e-05
3903,0.000875,0.01,0.000125,6.25e-08,135095.737,11.75810571,1.257507457e-05
3904,0.001125,0.01,0.000125,6.25e-08,145408.1257,13.24865675,1.347552206e-05
3905,0.001375,0.01,0.000125,6.25e-08,155086.417,14.6992666,1.431433119e-05
3906,0.001625,0.01,0.000125,6.25e-08,164174.549,16.10435867,1.509688069e-05
3907,0.001875,0.01,0.000125,6.25e-08,172708.7707,17.45961233,1.5827529e-05
3908,0.002125,0.01,0.000125,6.25e-08,180720.3968,18.76181508,1.650994972e-05
3909,0.002375,0.01,0.000125,6.25e-08,188237.4108,20.00871397,1.714733421e-05
3910,0.002625,0.01,0.000125,6.25e-08,195285.444,21.19887848,1.774252028e-05
3911,0.002875,0.01,0.000125,6.25e-08,201888.3948,22.33157825,1.829807739e-05
3912,0.003125,0.01,0.000125,6.25e-08,208068.834,23.40667603,1.881636507e-05
3913,0.003375,0.01,0.000125,6.25e-08,213848.2711,24.42453376,1.929957374e-05
3914,0.003625,0.01,0.000125,6.25e-08,219247.3172,25.38592801,1.974975263e-05
