cellI,x,y,z,sigma_xx,sigma_xy,sigma_xz,sigma_yy,sigma_yz,sigma_zz
65,0.016375,0.000125,0.000125,40.77193278,-12.94216256,-0,40.60351364,-0,40.73939568
66,0.016625,0.000125,0.000125,40.7121179,-13.06966374,-0,40.54291107,-0,40.67960753
67,0.016875,0.000125,0.000125,40.65019446,-13.19428159,-0,40.48050064,-0,40.61774407
68,0.017125,0.000125,0.000125,40.58638166,-13.31605908,-0,40.41654287,-0,40.55402793
69,0.017375,0.000125,0.000125,40.52088121,-13.43503806,-0,40.35129599,-0,40.48866488
70,0.017625,0.000125,0.000125,40.45388161,-13.55125869,-0,40.28501228,-0,40.42184807
71,0.017875,0.000125,0.000125,40.38556113,-13.66474502,-0,40.21793616,-0,40.35376181
72,0.018125,0.000125,0.000125,40.31609194,-13.77549317,-0,40.15029983,-0,40.28458743
73,0.018375,0.000125,0.000125,40.24564447,-13.88351909,-0,40.08232311,-0,40.2145066
74,0.018625,0.000125,0.000125,40.17437044,-13.98885918,-0,40.01425698,-0,40.14368155
75,0.018875,0.000125,0.000125,40.10240663,-14.09153157,-0,39.94637966,-0,40.07226051
76,0.019125,0.000125,0.000125,40.02988229,-14.19153469,-0,39.8789853,-0,40.00038825
77,0.019375,0.000125,0.000125,39.95692185,-14.28885352,-0,39.81238686,-0,39.92820907
78,0.019625,0.000125,0.000125,39.8836453,-14.38346211,-0,39.74692546,-0,39.85586704
79,0.019875,0.000125,0.000125,39.8101699,-14.47532309,-0,39.68297776,-0,39.78350824
80,0.020125,0.000125,0.000125,39.73661051,-14.56438966,-0,39.62096701,-0,39.71128239
81,0.020375,0.000125,0.000125,39.66307827,-14.65060944,-0,39.56137972,-0,39.63934296
82,0.020625,0.000125,0.000125,39.58968771,-14.73391847,-0,39.5047651,-0,39.56785873
83,0.020875,0.000125,0.000125,39.51654438,-14.81419804,-0,39.4517768,-0,39.49700926
84,0.021125,0.000125,0.000125,39.44394461,-14.89137784,-0,39.40281155,-0,39.42718128
85,0.021375,0.000125,0.000125,39.37981161,-14.96346844,-0,39.34317124,-0,39.36640796
86,0.021625,0.000125,0.000125,39.31946946,-15.02999398,-0,39.28358282,-0,39.3101227
87,0.021875,0.000125,0.000125,39.26101831,-15.08869593,-0,39.22936807,-0,39.25660798
88,0.022125,0.000125,0.000125,39.19351791,-15.14374625,-0,39.19969164,-0,39.19524191
89,0.022375,0.000125,0.000125,39.12043361,-15.18933722,-0,39.17473246,-0,39.12992002
90,0.022625,0.000125,0.000125,39.04923589,-15.22841667,-0,39.13813065,-0,39.06859234
91,0.022875,0.000125,0.000125,38.96214041,-15.24525929,-0,39.12537682,-0,38.99396619
92,0.023125,0.000125,0.000125,38.85924021,-15.23788857,-0,39.13431819,-0,38.90697288
93,0.023375,0.000125,0.000125,38.74088136,-15.19978765,-0,39.1599082,-0,38.80948754
94,0.023625,0.000125,0.000125,38.60460064,-15.11713966,-0,39.19870177,-0,38.70138383
95,0.023875,0.000125,0.000125,38.4321805,-14.9598224,-0,39.27198351,-0,38.56842938
96,0.024125,0.000125,0.000125,38.19868144,-14.67531557,-0,39.40024659,-0,38.39122872
97,0.024375,0.000125,0.000125,37.87081365,-14.1020859,-0,39.60008151,-0,38.14866618
98,0.024625,0.000125,0.000125,37.30183964,-13.10567299,-0,39.99895891,-0,37.71730137
99,0.024875,0.000125,0.000125,36.80452773,-9.833568691,-0,40.25984783,-0,37.08815458
100,0.000125,0.000375,0.000125,3.884521258,-0.4306982437,-0,4.068911709,-0,4.092856985
101,0.000375,0.000375,0.000125,3.931678177,-0.3021244763,-0,4.099390562,-0,4.099426929
102,0.000625,0.000375,0.000125,4.064497422,-0.1194865961,-0,4.090500384,-0,4.086547744
103,0.000875,0.000375,0.000125,4.122326661,-0.07253307722,-0,4.127182649,-0,4.126533188
104,0.001125,0.000375,0.000125,4.177558618,-0.05216092969,-0,4.175297136,-0,4.179147114
105,0.001375,0.000375,0.000125,4.238041423,-0.03576753208,-0,4.23132713,-0,4.238638929
106,0.001625,0.000375,0.000125,4.304065799,-0.02302397798,-0,4.294633803,-0,4.304222588
107,0.001875,0.000375,0.000125,4.375491248,-0.05318171964,-0,4.364566298,-0,4.375776712
108,0.002125,0.000375,0.000125,4.45271791,-0.08366667404,-0,4.44042682,-0,4.452720567
109,0.002375,0.000375,0.000125,4.535460442,-0.1140829611,-0,4.521727415,-0,4.534970863
110,0.002625,0.000375,0.000125,4.623321574,-0.1441235088,-0,4.608275061,-0,4.622220399
111,0.002875,0.000375,0.000125,4.715966148,-0.1752120654,-0,4.699789696,-0,4.714184284
112,0.003125,0.000375,0.000125,4.813148022,-0.20769751,-0,4.795769801,-0,4.810658314
113,0.003375,0.000375,0.000125,4.914541938,-0.2389116341,-0,4.895789133,-0,4.911364847
114,0.003625,0.000375,0.000125,5.018872476,-0.2695655177,-0,5.001432995,-0,5.014990463
115,0.003875,0.000375,0.000125,5.126661128,-0.3009213472,-0,5.110637236,-0,5.122029616
116,0.004125,0.000375,0.000125,5.23772734,-0.3332990814,-0,5.222681708,-0,5.232311556
117,0.004375,0.000375,0.000125,5.351657318,-0.3667207891,-0,5.337303339,-0,5.345437523
118,0.004625,0.000375,0.000125,5.468083683,-0.401202182,-0,5.454160097,-0,5.461044618
119,0.004875,0.000375,0.000125,5.586566225,-0.4367367495,-0,5.573093411,-0,5.578679376
120,0.005125,0.000375,0.000125,5.707745296,-0.4733533061,-0,5.691783648,-0,5.698975832
121,0.005375,0.000375,0.000125,5.832499141,-0.5115817949,-0,5.807449669,-0,5.822815263
122,0.005625,0.000375,0.000125,5.958005997,-0.5509284638,-0,5.924757195,-0,5.947387102
123,0.005875,0.000375,0.000125,6.082965754,-0.5913029277,-0,6.045374725,-0,6.071390851
124,0.006125,0.000375,0.000125,6.207648189,-0.6328313815,-0,6.167868883,-0,6.195093936
125,0.006375,0.000375,0.000125,6.332506585,-0.6756189557,-0,6.290481239,-0,6.318949522
126,0.006625,0.000375,0.000125,6.457273661,-0.7196542939,-0,6.412946906,-0,6.442690929
127,0.006875,0.000375,0.000125,6.58170319,-0.764884914,-0,6.535012445,-0,6.566072875
128,0.007125,0.000375,0.000125,6.705573524,-0.8112427216,-0,6.656430248,-0,6.688875408
129,0.007375,0.000375,0.000125,6.828655396,-0.8587405152,-0,6.777019716,-0,6.810873088
130,0.007625,0.000375,0.000125,6.950725339,-0.9074444635,-0,6.896637851,-0,6.931848171
131,0.007875,0.000375,0.000125,7.071608841,-0.957351169,-0,7.01510628,-0,7.051627859
132,0.008125,0.000375,0.000125,7.191161779,-1.008380447,-0,7.132250903,-0,7.170067218
133,0.008375,0.000375,0.000125,7.309247665,-1.060450689,-0,7.247939635,-0,7.2870281
134,0.008625,0.000375,0.000125,7.425774784,-1.113529138,-0,7.362012539,-0,7.402413337
135,0.008875,0.000375,0.000125,7.540625238,-1.167631875,-0,7.474404163,-0,7.5161065
136,0.009125,0.000375,0.000125,7.653679396,-1.222724692,-0,7.585087918,-0,7.627997466
