cellI,x,y,z,sigma_xx,sigma_xy,sigma_xz,sigma_yy,sigma_yz,sigma_zz
65,0.016375,0.000125,0.000125,40.77174418,-12.94245209,-0,40.60229292,-0,40.73911802
66,0.016625,0.000125,0.000125,40.71189971,-13.07000379,-0,40.54148042,-0,40.6792841
67,0.016875,0.000125,0.000125,40.64994275,-13.19468042,-0,40.47882253,-0,40.61736808
68,0.017125,0.000125,0.000125,40.58609149,-13.31652604,-0,40.41457415,-0,40.55359117
69,0.017375,0.000125,0.000125,40.52054969,-13.4355822,-0,40.3489806,-0,40.48816065
70,0.017625,0.000125,0.000125,40.45350407,-13.55188972,-0,40.28228737,-0,40.42126744
71,0.017875,0.000125,0.000125,40.38512977,-13.66548742,-0,40.21473409,-0,40.35309146
72,0.018125,0.000125,0.000125,40.31559269,-13.77639837,-0,40.1465537,-0,40.28380475
73,0.018375,0.000125,0.000125,40.24505309,-13.88461566,-0,40.07796877,-0,40.21357692
74,0.018625,0.000125,0.000125,40.17367111,-13.99015207,-0,40.00918887,-0,40.14257978
75,0.018875,0.000125,0.000125,40.10158881,-14.09304289,-0,39.9404564,-0,40.07096622
76,0.019125,0.000125,0.000125,40.02893368,-14.19330466,-0,39.87204314,-0,39.99887548
77,0.019375,0.000125,0.000125,39.95582611,-14.29093346,-0,39.80423835,-0,39.92644386
78,0.019625,0.000125,0.000125,39.88238229,-14.38591127,-0,39.73735132,-0,39.85380808
79,0.019875,0.000125,0.000125,39.80871417,-14.47820875,-0,39.67172176,-0,39.78110497
80,0.020125,0.000125,0.000125,39.73493119,-14.56778402,-0,39.60772719,-0,39.70847388
81,0.020375,0.000125,0.000125,39.66114227,-14.65458449,-0,39.54579076,-0,39.63606015
82,0.020625,0.000125,0.000125,39.58744983,-14.73854948,-0,39.48640803,-0,39.56401038
83,0.020875,0.000125,0.000125,39.51397312,-14.81962442,-0,39.43011351,-0,39.49250125
84,0.021125,0.000125,0.000125,39.44076671,-14.89764587,-0,39.37766309,-0,39.4216653
85,0.021375,0.000125,0.000125,39.36823217,-14.97261769,-0,39.32925246,-0,39.35199639
86,0.021625,0.000125,0.000125,39.30502228,-15.04217446,-0,39.26873828,-0,39.29226155
87,0.021875,0.000125,0.000125,39.24508711,-15.10597741,-0,39.20961717,-0,39.23652624
88,0.022125,0.000125,0.000125,39.18561514,-15.16199365,-0,39.1590275,-0,39.18218713
89,0.022375,0.000125,0.000125,39.11678775,-15.21408714,-0,39.13076295,-0,39.11977161
90,0.022625,0.000125,0.000125,39.04350623,-15.25684243,-0,39.10480411,-0,39.05465224
91,0.022875,0.000125,0.000125,38.97214841,-15.29153058,-0,39.06685015,-0,38.99371062
92,0.023125,0.000125,0.000125,38.87934888,-15.30060417,-0,39.06353058,-0,38.9141163
93,0.023375,0.000125,0.000125,38.77296976,-15.28458104,-0,39.07628809,-0,38.82477321
94,0.023625,0.000125,0.000125,38.65090846,-15.23428911,-0,39.10373144,-0,38.72537834
95,0.023875,0.000125,0.000125,38.50573845,-15.12955337,-0,39.15025623,-0,38.61147605
96,0.024125,0.000125,0.000125,38.31603711,-14.93345232,-0,39.23817098,-0,38.46614366
97,0.024375,0.000125,0.000125,38.05729272,-14.54278638,-0,39.38198376,-0,38.27311272
98,0.024625,0.000125,0.000125,37.62627559,-13.86976471,-0,39.66587317,-0,37.95808812
99,0.024875,0.000125,0.000125,37.23129965,-11.69050218,-0,39.88751147,-0,37.48596088
100,0.000125,0.000375,0.000125,3.884521268,-0.4306983172,-0,4.068911689,-0,4.092856995
101,0.000375,0.000375,0.000125,3.931678196,-0.3021245162,-0,4.099390525,-0,4.099426948
102,0.000625,0.000375,0.000125,4.064497679,-0.1194858614,-0,4.090500209,-0,4.086547664
103,0.000875,0.000375,0.000125,4.12232672,-0.07253310044,-0,4.127182563,-0,4.126533218
104,0.001125,0.000375,0.000125,4.177558631,-0.05216153159,-0,4.175297069,-0,4.179147174
105,0.001375,0.000375,0.000125,4.238041488,-0.03576703496,-0,4.231327028,-0,4.238638976
106,0.001625,0.000375,0.000125,4.30406586,-0.02302400347,-0,4.294633703,-0,4.304222645
107,0.001875,0.000375,0.000125,4.375491327,-0.05318174691,-0,4.36456618,-0,4.37577678
108,0.002125,0.000375,0.000125,4.452718,-0.08366669715,-0,4.440426701,-0,4.452720639
109,0.002375,0.000375,0.000125,4.535460555,-0.1140829861,-0,4.521727275,-0,4.534970954
110,0.002625,0.000375,0.000125,4.623321714,-0.1441235425,-0,4.608274921,-0,4.622220489
111,0.002875,0.000375,0.000125,4.715966296,-0.1752124412,-0,4.699789553,-0,4.714184401
112,0.003125,0.000375,0.000125,4.813148193,-0.2076975307,-0,4.795769648,-0,4.810658456
113,0.003375,0.000375,0.000125,4.914542159,-0.2389116662,-0,4.89578896,-0,4.911365007
114,0.003625,0.000375,0.000125,5.018872667,-0.2695655182,-0,5.001432946,-0,5.01499059
115,0.003875,0.000375,0.000125,5.126661368,-0.3009210502,-0,5.110637192,-0,5.122029763
116,0.004125,0.000375,0.000125,5.237727651,-0.3332990905,-0,5.222681655,-0,5.232311732
117,0.004375,0.000375,0.000125,5.351657674,-0.3667210788,-0,5.337303312,-0,5.345437738
118,0.004625,0.000375,0.000125,5.46808414,-0.4012024695,-0,5.454160041,-0,5.461044895
119,0.004875,0.000375,0.000125,5.586566709,-0.4367370121,-0,5.573093471,-0,5.578679673
120,0.005125,0.000375,0.000125,5.707746327,-0.4733536648,-0,5.69178281,-0,5.698976671
121,0.005375,0.000375,0.000125,5.832500352,-0.5115821595,-0,5.807448766,-0,5.82281622
122,0.005625,0.000375,0.000125,5.958007419,-0.5509287728,-0,5.924756203,-0,5.947388216
123,0.005875,0.000375,0.000125,6.082966992,-0.5913032862,-0,6.045374486,-0,6.071391729
124,0.006125,0.000375,0.000125,6.207649655,-0.6328319597,-0,6.167868649,-0,6.19509498
125,0.006375,0.000375,0.000125,6.332508328,-0.6756199247,-0,6.290481008,-0,6.31895076
126,0.006625,0.000375,0.000125,6.45727573,-0.7196551671,-0,6.412946682,-0,6.442692397
127,0.006875,0.000375,0.000125,6.581705647,-0.7648859724,-0,6.53501222,-0,6.566074621
128,0.007125,0.000375,0.000125,6.705576438,-0.8112439805,-0,6.656430021,-0,6.688877482
129,0.007375,0.000375,0.000125,6.828658811,-0.8587418911,-0,6.777019551,-0,6.810875518
130,0.007625,0.000375,0.000125,6.950729329,-0.9074462932,-0,6.896637763,-0,6.931851007
131,0.007875,0.000375,0.000125,7.071613535,-0.9573534258,-0,7.015106275,-0,7.05163119
132,0.008125,0.000375,0.000125,7.191167287,-1.00838294,-0,7.132250973,-0,7.17007112
133,0.008375,0.000375,0.000125,7.309254131,-1.06045355,-0,7.247939818,-0,7.287032671
134,0.008625,0.000375,0.000125,7.425782389,-1.113532595,-0,7.362012828,-0,7.402418703
135,0.008875,0.000375,0.000125,7.54063416,-1.16763606,-0,7.47440463,-0,7.51611277
136,0.009125,0.000375,0.000125,7.653689877,-1.222729661,-0,7.585088585,-0,7.628004797
137,0.009375,0.000375,0.000125,7.764909407,-1.27871565,-0,7.693940043,-0,7.73805663
138,0.009625,0.000375,0.000125,7.874253017,-1.33550935,-0,7.800885457,-0,7.846225506
139,0.009875,0.000375,0.000125,7.981675767,-1.39308249,-0,7.905896022,-0,7.952467751
140,0.010125,0.000375,0.000125,8.087144123,-1.451431325,-0,8.008955512,-0,8.056753285
141,0.010375,0.000375,0.000125,8.19064053,-1.510543527,-0,8.110055168,-0,8.159066362
142,0.010625,0.000375,0.000125,8.292161651,-1.570395176,-0,8.209194815,-0,8.259404095
143,0.010875,0.000375,0.000125,8.391714786,-1.630958084,-0,8.306385419,-0,8.357774554
144,0.011125,0.000375,0.000125,8.489317577,-1.692210173,-0,8.401647646,-0,8.454195857
145,0.011375,0.000375,0.000125,8.584995508,-1.754107094,-0,8.495011775,-0,8.548695736
146,0.011625,0.000375,0.000125,8.678786205,-1.816703998,-0,8.586514981,-0,8.641312613
147,0.011875,0.000375,0.000125,8.770728516,-1.879794522,-0,8.676199896,-0,8.732088367
148,0.012125,0.000375,0.000125,8.860876755,-1.943532078,-0,8.76412101,-0,8.821072595
149,0.012375,0.000375,0.000125,8.949285334,-2.007834283,-0,8.850338458,-0,8.908322228
150,0.012625,0.000375,0.000125,9.036009462,-2.072673708,-0,8.934921853,-0,8.993897485
151,0.012875,0.000375,0.000125,9.121110791,-2.138031543,-0,9.017941577,-0,9.077864412
152,0.013125,0.000375,0.000125,9.204659688,-2.203892393,-0,9.099464328,-0,9.160296344
153,0.013375,0.000375,0.000125,9.286731679,-2.270240033,-0,9.179560827,-0,9.241269354
154,0.013625,0.000375,0.000125,9.367404088,-2.337056934,-0,9.258308986,-0,9.320860466
155,0.013875,0.000375,0.000125,9.446755839,-2.404325847,-0,9.335789927,-0,9.399149634
156,0.014125,0.000375,0.000125,9.524870411,-2.472034257,-0,9.412081815,-0,9.476221874
157,0.014375,0.000375,0.000125,9.601832699,-2.540170671,-0,9.487267381,-0,9.552161961
158,0.014625,0.000375,0.000125,9.677723623,-2.608718286,-0,9.561439898,-0,9.627051219
159,0.014875,0.000375,0.000125,9.752620955,-2.677664095,-0,9.634694797,-0,9.700971828
160,0.015125,0.000375,0.000125,9.826602421,-2.746999337,-0,9.707123813,-0,9.774008447
161,0.015375,0.000375,0.000125,9.899746495,-2.816713978,-0,9.778816038,-0,9.846246068
162,0.015625,0.000375,0.000125,9.972130885,-2.886795741,-0,9.849859965,-0,9.917768269
163,0.015875,0.000375,0.000125,10.04383087,-2.95723331,-0,9.920344067,-0,9.988656839
164,0.016125,0.000375,0.000125,10.11491844,-3.028015465,-0,9.990356459,-0,10.0589916
165,0.016375,0.000375,0.000125,10.1854618,-3.099130802,-0,10.05998439,-0,10.12885005
166,0.016625,0.000375,0.000125,10.25552473,-3.170567474,-0,10.12931402,-0,10.19830683
167,0.016875,0.000375,0.000125,10.32516555,-3.242310574,-0,10.19843013,-0,10.26743316
168,0.017125,0.000375,0.000125,10.39443643,-3.314345935,-0,10.26741578,-0,10.33629632
169,0.017375,0.000375,0.000125,10.46338181,-3.386649563,-0,10.33635189,-0,10.40495914
170,0.017625,0.000375,0.000125,10.53203934,-3.459201731,-0,10.40531418,-0,10.47348075
171,0.017875,0.000375,0.000125,10.60044149,-3.531990228,-0,10.47437505,-0,10.54191283
172,0.018125,0.000375,0.000125,10.66862236,-3.605012521,-0,10.54359153,-0,10.61030467
173,0.018375,0.000375,0.000125,10.73656839,-3.678283152,-0,10.61306328,-0,10.6786861
174,0.018625,0.000375,0.000125,10.80419106,-3.751753222,-0,10.68296383,-0,10.74704321
175,0.018875,0.000375,0.000125,10.87148697,-3.825325817,-0,10.75328239,-0,10.81543026
176,0.019125,0.000375,0.000125,10.93840832,-3.898927093,-0,10.82406866,-0,10.88384512
177,0.019375,0.000375,0.000125,11.00486495,-3.972492143,-0,10.89538538,-0,10.95226469
178,0.019625,0.000375,0.000125,11.0707237,-4.04594006,-0,10.96729584,-0,11.02064886
179,0.019875,0.000375,0.000125,11.13580654,-4.119167904,-0,11.03986034,-0,11.08893431
180,0.020125,0.000375,0.000125,11.19988235,-4.192046624,-0,11.11313561,-0,11.15702896
181,0.020375,0.000375,0.000125,11.26265596,-4.264402672,-0,11.18716911,-0,11.22480813
182,0.020625,0.000375,0.000125,11.32376215,-4.336024717,-0,11.26198001,-0,11.2921176
183,0.020875,0.000375,0.000125,11.38276164,-4.40659005,-0,11.33756357,-0,11.35873739
184,0.021125,0.000375,0.000125,11.43907375,-4.475804937,-0,11.41391559,-0,11.42436978
185,0.021375,0.000375,0.000125,11.49198794,-4.54310575,-0,11.4909096,-0,11.48861924
186,0.021625,0.000375,0.000125,11.54024621,-4.607965671,-0,11.5691755,-0,11.55070957
187,0.021875,0.000375,0.000125,11.58242308,-4.669762321,-0,11.64865853,-0,11.61015573
188,0.022125,0.000375,0.000125,11.61541526,-4.727068885,-0,11.72906768,-0,11.66480842
189,0.022375,0.000375,0.000125,11.63931771,-4.77811886,-0,11.80981515,-0,11.71547769
190,0.022625,0.000375,0.000125,11.65432735,-4.821081628,-0,11.89559298,-0,11.76338403
191,0.022875,0.000375,0.000125,11.65829517,-4.853417964,-0,11.98508717,-0,11.8080867
192,0.023125,0.000375,0.000125,11.64453123,-4.869692986,-0,12.08350176,-0,11.84576041
193,0.023375,0.000375,0.000125,11.60835995,-4.861958084,-0,12.18929796,-0,11.87501016
194,0.023625,0.000375,0.000125,11.54226485,-4.813996,-0,12.30228881,-0,11.89191464
195,0.023875,0.000375,0.000125,11.43554374,-4.700784586,-0,12.4235895,-0,11.88857174
196,0.024125,0.000375,0.000125,11.27393998,-4.491718372,-0,12.55153953,-0,11.85630764
197,0.024375,0.000375,0.000125,11.05656781,-4.084383152,-0,12.67696893,-0,11.76400524
198,0.024625,0.000375,0.000125,10.81105219,-3.422196382,-0,12.72849046,-0,11.60847971
199,0.024875,0.000375,0.000125,10.52191537,-2.313254676,-0,12.83678343,-0,11.23693702
200,0.000125,0.000625,0.000125,3.870939537,-0.2672002981,-0,4.16017119,-0,3.964577321
201,0.000375,0.000625,0.000125,3.752217905,-0.08185360663,-0,4.279078981,-0,3.962259885
202,0.000625,0.000625,0.000125,3.740763697,0.01095733055,-0,4.279515113,-0,3.973747484
203,0.000875,0.000625,0.000125,3.76925089,0.02044033924,-0,4.250375847,-0,3.977531021
204,0.001125,0.000625,0.000125,3.798167842,0.01491712012,-0,4.223691567,-0,3.981112985
205,0.001375,0.000625,0.000125,3.822587128,0.004492584818,-0,4.201376862,-0,3.987491434
206,0.001625,0.000625,0.000125,3.846080136,-0.01196535738,-0,4.182071736,-0,3.994415366
207,0.001875,0.000625,0.000125,3.868215745,-0.03371372514,-0,4.167022234,-0,4.001022142
208,0.002125,0.000625,0.000125,3.888392825,-0.05864313174,-0,4.155483203,-0,4.008604098
209,0.002375,0.000625,0.000125,3.907219698,-0.08522726346,-0,4.147163668,-0,4.016788111
210,0.002625,0.000625,0.000125,3.924656189,-0.1123110403,-0,4.141680394,-0,4.025938463
211,0.002875,0.000625,0.000125,3.947806332,-0.124754762,-0,4.136024738,-0,4.031884418
212,0.003125,0.000625,0.000125,3.980221383,-0.1097105942,-0,4.127521349,-0,4.033656692
213,0.003375,0.000625,0.000125,4.004593806,-0.1000406852,-0,4.123998248,-0,4.040670636
214,0.003625,0.000625,0.000125,4.024159613,-0.0924133669,-0,4.124561341,-0,4.050518148
215,0.003875,0.000625,0.000125,4.0420046,-0.08528505455,-0,4.127411109,-0,4.061840673
216,0.004125,0.000625,0.000125,4.059025524,-0.07877039358,-0,4.131988749,-0,4.074224321
217,0.004375,0.000625,0.000125,4.075588982,-0.07290223507,-0,4.138073906,-0,4.087444466
218,0.004625,0.000625,0.000125,4.091968439,-0.06774654036,-0,4.145458217,-0,4.101355266
219,0.004875,0.000625,0.000125,4.108037127,-0.06680646376,-0,4.154130224,-0,4.116016
220,0.005125,0.000625,0.000125,4.122482938,-0.08840485634,-0,4.164608592,-0,4.132152762
221,0.005375,0.000625,0.000125,4.137688784,-0.1093682034,-0,4.175675986,-0,4.14851745
222,0.005625,0.000625,0.000125,4.153462704,-0.1302707933,-0,4.187555233,-0,4.164997469
223,0.005875,0.000625,0.000125,4.169710939,-0.1509606503,-0,4.200210335,-0,4.181640496
224,0.006125,0.000625,0.000125,4.186419604,-0.1716884592,-0,4.213488536,-0,4.198530802
225,0.006375,0.000625,0.000125,4.203594861,-0.1921081341,-0,4.227288591,-0,4.215680054
226,0.006625,0.000625,0.000125,4.221194328,-0.2128517969,-0,4.241557881,-0,4.233101627
227,0.006875,0.000625,0.000125,4.239177481,-0.2334146742,-0,4.256310922,-0,4.250739623
228,0.007125,0.000625,0.000125,4.257409439,-0.25494457,-0,4.271626551,-0,4.268572667
229,0.007375,0.000625,0.000125,4.275843562,-0.2778633472,-0,4.287424277,-0,4.286653047
230,0.007625,0.000625,0.000125,4.294569608,-0.2996756505,-0,4.303517898,-0,4.304994684
231,0.007875,0.000625,0.000125,4.313569872,-0.3208731974,-0,4.31989489,-0,4.323548402
232,0.008125,0.000625,0.000125,4.332809979,-0.3417540757,-0,4.336566296,-0,4.342262163
233,0.008375,0.000625,0.000125,4.352245987,-0.3625138743,-0,4.353518737,-0,4.361120673
234,0.008625,0.000625,0.000125,4.371203109,-0.3825467364,-0,4.371996116,-0,4.37948369
235,0.008875,0.000625,0.000125,4.389724421,-0.4026155562,-0,4.39183075,-0,4.397410015
236,0.009125,0.000625,0.000125,4.40874499,-0.4222025578,-0,4.411134395,-0,4.415784593
237,0.009375,0.000625,0.000125,4.428051162,-0.4420264711,-0,4.430277198,-0,4.434392244
238,0.009625,0.000625,0.000125,4.447450732,-0.4623678351,-0,4.449560153,-0,4.453071338
239,0.009875,0.000625,0.000125,4.466908984,-0.4831047375,-0,4.468964211,-0,4.471824821
240,0.010125,0.000625,0.000125,4.48642492,-0.5041911609,-0,4.488430709,-0,4.490664355
241,0.010375,0.000625,0.000125,4.505999816,-0.5255831755,-0,4.507920644,-0,4.509582942
242,0.010625,0.000625,0.000125,4.525621322,-0.5472437315,-0,4.527426769,-0,4.528558899
243,0.010875,0.000625,0.000125,4.545274907,-0.5691639972,-0,4.546940841,-0,4.547577303
244,0.011125,0.000625,0.000125,4.564954501,-0.5913182138,-0,4.566451773,-0,4.566621012
245,0.011375,0.000625,0.000125,4.584706641,-0.6137338197,-0,4.585786436,-0,4.585786436
246,0.011625,0.000625,0.000125,4.604628143,-0.6362097416,-0,4.604823005,-0,4.605069236
247,0.011875,0.000625,0.000125,4.62457882,-0.6591587655,-0,4.623765024,-0,4.624385091
248,0.012125,0.000625,0.000125,4.644459342,-0.6821586581,-0,4.642716556,-0,4.643708102
249,0.012375,0.000625,0.000125,4.664340524,-0.7053041458,-0,4.661626764,-0,4.663000524
250,0.012625,0.000625,0.000125,4.684207731,-0.7285706539,-0,4.680467183,-0,4.682290441
251,0.012875,0.000625,0.000125,4.704034505,-0.7520626228,-0,4.69926734,-0,4.701563624
252,0.013125,0.000625,0.000125,4.72378435,-0.7758331156,-0,4.7180887,-0,4.720787496
253,0.013375,0.000625,0.000125,4.743459879,-0.7998416778,-0,4.736924388,-0,4.739961615
254,0.013625,0.000625,0.000125,4.763080121,-0.8240502031,-0,4.755738122,-0,4.759101111
255,0.013875,0.000625,0.000125,4.78264581,-0.848455785,-0,4.774527374,-0,4.778208493
256,0.014125,0.000625,0.000125,4.802135849,-0.8730943322,-0,4.793335284,-0,4.797265473
257,0.014375,0.000625,0.000125,4.821567231,-0.8978580915,-0,4.812137483,-0,4.81628455
258,0.014625,0.000625,0.000125,4.840981686,-0.9226722992,-0,4.830858527,-0,4.835305693
259,0.014875,0.000625,0.000125,4.860382357,-0.9475472065,-0,4.849490144,-0,4.854341663
260,0.015125,0.000625,0.000125,4.879751134,-0.9725237217,-0,4.868067213,-0,4.873385138
